alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,6.039017321997412,6.039017321997412,1.1,False,37.573976836703565,41.33137452037393,37.573976836703565,37.573976836703565,18,False,Portugal,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
MAR,"['Arabic', 'Berber']",36828330,91.0,2023,2025 Q1 P,284000.0,213.0,7.566182025989628,0.91,5.453318340047038,5.453318340047038,0.5,False,37.54732727788178,18.77366363894089,37.54732727788178,37.54732727788178,19,False,Morocco,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,6.198657086954422,6.198657086954422,0.5,False,37.52418774060002,18.76209387030001,37.52418774060002,37.52418774060002,20,False,Greece,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
BEL,"['German', 'French', 'Dutch']",11825551,95.7758,2024,2025 Q2 P,322000.0,172.0,7.072821385408543,0.957758,5.507855871695831,5.507855871695831,1.1,False,37.3104980320481,41.04154783525291,37.3104980320481,37.3104980320481,21,False,Belgium,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
TUR,['Turkish'],85664944,87.3079,2024,,,,7.932803135318054,0.873079,,5.334453751150931,0.5,False,36.94623372570612,18.47311686285306,36.94623372570612,36.94623372570612,22,False,Türkiye,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
CHL,['Spanish'],20206953,94.4574,2023,,,,7.3055008313257455,0.944574,,5.334453751150931,1.1,False,36.81085763165863,40.491943394824496,36.81085763165863,36.81085763165863,23,False,Chile,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ARG,"['Guaraní', 'Spanish']",46735004,89.6672,2024,,,,7.6696422841965495,0.8966719999999999,,5.334453751150931,1.1,False,36.685857211994154,40.354442933193575,36.685857211994154,36.685857211994154,24,False,Argentina,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
AUT,['German'],9200931,94.9197,2024,2025 Q1 P,326000.0,420.0,6.963831773835327,0.9491970000000001,5.513217600067939,5.513217600067939,1.1,False,36.44263422917097,40.08689765208807,36.44263422917097,36.44263422917097,25,False,Austria,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
KAZ,"['Kazakh', 'Russian']",20426568,93.3917,2024,,,,7.310195404132739,0.933917,,5.334453751150931,0.5,False,36.41893328209601,18.209466641048007,36.41893328209601,36.41893328209601,26,False,Kazakhstan,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
CAN,"['English', 'French']",41651653,93.9564,2023,2025 Q2 P,121000.0,142.0,7.619632241625957,0.9395640000000001,5.08278537031645,5.08278537031645,1.5,False,36.38833214332805,54.58249821499207,36.38833214332805,36.38833214332805,27,False,Canada,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
