trial,seed,seeds,seed_start,eng,euro,other,uk_missing,uk_floor,zone_start,zone_end,wrong_at_rank_test_mean,wrong_at_rank_test_median,wrong_at_rank_train_mean,incorrect_zone_closeness_test_mean,incorrect_zone_closeness_test_median,incorrect_zone_closeness_train_mean,correct_zone_closeness_test_mean,correct_zone_closeness_test_median,correct_zone_closeness_train_mean,correct_overlap_test_mean,correct_overlap_train_mean,incorrect_count,correct_count
21,1,20,0,1.3372429152511636,1.012410906150492,0.7194808150222816,p10,0.05,90.0,95.0,0.004945054945054946,0.0,0.006043956043956044,0.11113817358413898,0.05369804743585231,0.07340396493680608,0.05264307314307315,0.053714798714798714,0.05478652428652429,0.0,0.0,26,4
22,1,20,0,1.254213244124991,1.1335327845000438,0.7604692088065725,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.04866099850764171,0.04577254707715873,0.043435332451331736,0.1365530303030303,0.10606060606060605,0.15006313131313131,0.0,0.0,26,4
23,1,20,0,1.196627547482113,1.0469080561386774,0.5147874819834535,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.027097600708588722,0.025497458247901707,0.026300891308346543,0.06928977272727273,0.06666666666666667,0.0740814393939394,0.0,0.0,26,4
24,1,20,0,1.1110146265811507,1.0217436451782638,0.991593858654837,p10,0.05,90.0,95.0,0.009597948199255862,0.010695493022191718,0.022319353634601257,0.18563850434230095,0.2059710088655328,0.18620952638799634,0.0790953947368421,0.09375,0.0659703947368421,0.0,0.0,26,4
25,1,20,0,1.2965918651900288,1.0180799059133743,0.5851745984278407,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03444915707804553,0.03793452189499284,0.032085914725933744,0.49206730769230766,0.5128205128205128,0.5415865384615385,0.95,1.05,26,4
26,1,20,0,1.2511192792167416,1.1946229912615602,0.8852615699154003,p10,0.05,90.0,95.0,0.003792660121552127,0.0,0.01782959326788219,0.11354152760436881,0.09518078941262167,0.16592435217568172,0.4017543859649123,0.40935672514619886,0.41695906432748536,0.5,0.5,26,4
27,1,20,0,1.2698087242248894,1.1580869336761648,0.6160880640315073,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.033004988902998356,0.027716840616464303,0.030981201028752098,0.07176573426573427,0.06923076923076923,0.07625291375291376,0.0,0.0,26,4
28,1,20,0,1.2568858315938185,1.1857402164804807,0.7888974039006016,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.046092764120217886,0.044165587987170005,0.04186099529676731,0.08995608660130719,0.08496732026143791,0.09396956699346405,0.0,0.0,26,4
29,1,20,0,1.2295658659553341,0.9807838432324264,0.7739981547331245,p10,0.05,90.0,95.0,0.0032258064516129037,0.0,0.007526881720430108,0.10410845548124972,0.0709668486865632,0.10434580434653756,0.03963888888888889,0.04166666666666667,0.03980555555555555,0.0,0.0,26,4
30,1,20,0,1.4785581407301134,0.9017127388351179,0.8918276163076949,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.0418019645019975,0.043044426000805824,0.048310854614224664,0.02116520360327236,0.02299154334038055,0.02070062352544658,0.0,0.0,26,4
31,1,20,0,1.410242955962741,1.1658538742478024,0.8702517059165982,p10,0.05,90.0,95.0,0.0097837646224743,0.010752688172043012,0.0119579345385797,0.19845672184308247,0.21285027463009676,0.13038322548195372,0.054926269382791125,0.05572615790007095,0.05652604641735077,0.0,0.0,26,4
32,1,20,0,1.40456995043624,1.0556034850569005,0.7806789323891895,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.07193917943514164,0.07288732621044854,0.05479919875264642,0.042255351911289755,0.04292527821939587,0.043437221905590385,0.0,0.0,26,4
33,1,20,0,1.213045339844075,0.9350050775883199,0.9168369892562221,p10,0.05,90.0,95.0,0.004301075268817204,0.0,0.006451612903225807,0.11615870651423911,0.08184071009485722,0.0966842833000643,0.03440495717149626,0.03347457627118644,0.03186531802442136,0.0,0.0,26,4
34,1,20,0,1.28499966693819,0.9599518260531429,0.7523602337144317,p10,0.05,90.0,95.0,0.0048913043478260865,0.0,0.005978260869565218,0.1331494948795359,0.12288244686950306,0.09831638159748526,0.033497435535479014,0.035628019323671496,0.03378642794403664,0.0,0.0,26,4
35,1,20,0,1.2424625561138671,1.0070369893634867,0.6730389595090774,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.04638835186659314,0.0395768556090076,0.037494860393755415,0.48971590909090906,0.5151515151515151,0.5379356060606061,0.95,1.05,26,4
36,1,20,0,1.269239397868922,1.0870468358392515,0.8062262323913628,p10,0.05,90.0,95.0,0.012025433195645962,0.01098901098901099,0.020712986776816565,0.2262377730823368,0.22049079196896149,0.1785048939750242,0.07250000000000001,0.07329545454545455,0.0740909090909091,0.0,0.0,26,4
37,1,20,0,1.2290734000498622,0.9083924952251528,0.614802515638512,p10,0.05,90.0,95.0,0.0070503181029496825,0.010526315789473684,0.014465008675534992,0.13258315336608772,0.1633169695372647,0.1196438014635348,0.10645993031358886,0.10931184668989546,0.11216376306620209,0.0,0.0,26,4
38,1,20,0,1.0886056294692914,1.0753382612335325,0.9305044304266624,p10,0.05,90.0,95.0,0.004736842105263157,0.0,0.005789473684210527,0.15554165017208837,0.15467549052109283,0.10765734798455841,0.09710227272727273,0.09583333333333333,0.08585227272727272,0.0,0.0,26,4
39,1,20,0,1.399219470288713,1.139129268790649,0.9082186852803454,p10,0.05,90.0,95.0,0.008249421972826229,0.010813654430675708,0.024488997999636296,0.1538402262611803,0.1613625324972579,0.18878351569954527,0.042512004801920765,0.04563492063492063,0.04273876217153528,0.0,0.0,26,4
40,1,20,0,1.1525234496822288,1.127647020043653,0.8365567627193535,p10,0.05,90.0,95.0,0.001098901098901099,0.0,0.009890109890109891,0.07831727358314058,0.0630957584082584,0.12005723455211209,0.5410810810810811,0.6,0.5724324324324324,0.95,1.05,26,4
41,1,20,0,1.041617068901949,0.9050071890346679,0.5072799874624061,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03070585908937308,0.029601796715342146,0.028692193435780052,0.12047305764411027,0.10964912280701754,0.1320332080200501,0.0,0.0,26,4
42,1,20,0,1.377793387626099,0.9748677676960269,0.5547443136471797,p10,0.05,90.0,95.0,0.004945054945054946,0.0,0.006043956043956044,0.11203413348462131,0.09169262784677348,0.08678412431848359,0.21416666666666667,0.2222222222222222,0.23027777777777778,0.0,0.0,26,4
43,1,20,0,1.3124010420762382,1.0033268592289484,0.5347576892654237,p10,0.05,90.0,95.0,0.002105263157894737,0.0,0.008421052631578947,0.059596890093368556,0.03173723534416454,0.07970358531825195,0.490472027972028,0.5113636363636364,0.5401223776223777,0.95,1.05,26,4
44,1,20,0,1.0798127623469238,1.0582141197144037,0.5840724731112141,p10,0.05,90.0,95.0,0.003763440860215054,0.0,0.006989247311827957,0.08274470707353992,0.03383085505698899,0.07530232754448209,0.07156189398836457,0.07107843137254902,0.07369236156000862,0.0,0.0,26,4
45,1,20,0,1.13645721840934,1.1134769781555818,0.7273508150228319,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.04952071942791063,0.051491796894899466,0.046638431729851375,0.07415584415584416,0.08116883116883117,0.07367965367965368,0.0,0.0,26,4
46,1,20,0,1.161000883193663,1.0421313042510836,0.5118172888159935,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.026595587375120938,0.02467170621338128,0.025583670108477917,0.0643970253884047,0.05890804597701149,0.06868684476443097,0.0,0.0,26,4
47,1,20,0,1.193278552380735,1.0262756037627228,0.5940196523756565,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03166091796165095,0.02994720269032649,0.0299192843929974,0.12719155844155844,0.12272727272727274,0.13839285714285715,0.0,0.0,26,4
48,1,20,0,1.1699455501068061,1.0543808462227067,0.7550579904643382,p10,0.05,90.0,95.0,0.008723404255319148,0.010638297872340425,0.013026004728132388,0.17175475471628762,0.19270975748345823,0.1273901263506835,0.38326923076923075,0.3939102564102564,0.40455128205128205,0.5,0.5,26,4
49,1,20,0,1.1045454962758852,1.081694592010205,0.9085198341889434,p10,0.05,90.0,95.0,0.007498284145504462,0.010638297872340425,0.013892701898878975,0.17934539931350188,0.19469464123746738,0.1428512914980117,0.1367378048780488,0.13719512195121952,0.11851287262872628,0.0,0.0,26,4
50,1,20,0,1.0104090542546436,0.9053593562483386,0.573230870199673,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03727097522033275,0.03505264003076579,0.033708084366467946,0.12714442815249266,0.12272727272727274,0.13671187683284458,0.0,0.0,26,4
51,1,20,0,1.359417736380895,0.9480682777889115,0.8523028139260013,p10,0.05,90.0,95.0,0.0044444444444444444,0.0,0.006666666666666667,0.10430224761543143,0.05738782218951748,0.08859443004997322,0.02639386546407419,0.028991596638655463,0.02581376245512868,0.0,0.0,26,4
52,1,20,0,1.3390878976384737,1.0634106490736712,0.6102998740113383,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.0340905136486223,0.038040197253866315,0.031387787855189656,0.4928907168037603,0.5135135135135135,0.5423619271445358,0.95,1.05,26,4
53,1,20,0,1.4877972589089417,1.1393432573118454,0.7582997584746964,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.053612246721909285,0.04706530701904843,0.043862393867113374,0.3189423076923077,0.3244658119658119,0.3299893162393162,0.5,0.5,26,4
54,1,20,0,1.1115978901233354,1.0945519254297769,0.6974490049291497,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.05072122822627482,0.04283711665568597,0.05113919704115314,0.0749891774891775,0.08116883116883117,0.0746981721981722,0.0,0.0,26,4
55,1,20,0,1.2879229813940283,0.9963737428035375,0.8154739306356735,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.07299818211840908,0.05967256257751151,0.0895922743717018,0.03494494635798984,0.03689064558629776,0.03501448229709099,0.0,0.0,26,4
