alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli
PER,"['Aymara', 'Quechua', 'Spanish']",34350244,81.9571,2024,,,,7.535929826329404,0.8195709999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.3477197159970715,2.5824916875967787,2.3477197159970715,2.3477197159970715,65,False,Peru,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
IDN,['Indonesian'],284438782,72.7808,2024,,,,8.453988810272648,0.727808,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.3388443061035074,1.1694221530517537,2.3388443061035074,2.3388443061035074,66,False,Indonesia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LBY,['Arabic'],7459000,88.4989,2023,,,,6.8726806071519295,0.884989,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.3119947992493866,1.1559973996246933,2.3119947992493866,2.3119947992493866,67,False,Libya,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
KGZ,"['Kyrgyz', 'Russian']",7281800,88.4701,2023,,,,6.86223874654393,0.8847010000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.3077308750956447,1.1538654375478223,2.3077308750956447,2.3077308750956447,68,False,Kyrgyzstan,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
URY,['Spanish'],3499451,91.9911,2024,,,,6.543999916815401,0.919911,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.2882944953066553,2.517123944837321,2.2882944953066553,2.2882944953066553,69,False,Uruguay,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SRB,['Serbian'],6567783,87.6907,2024,,,,6.81741879522901,0.8769070000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.2724604274592175,2.4997064702051395,2.2724604274592175,2.2724604274592175,70,False,Serbia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
COL,['Spanish'],53057212,77.3369,2023,,,,7.724744425351789,0.773369,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.2708774511331726,2.49796519624649,2.2708774511331726,2.2708774511331726,71,False,Colombia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
DZA,['Arabic'],47400000,76.9081,2023,,,,7.675778341674085,0.769081,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.2439714435346474,1.1219857217673237,2.2439714435346474,2.2439714435346474,72,False,Algeria,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
PSE,['Arabic'],5483450,86.6377,2023,,,,6.739053887776157,0.866377,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.2193646393678934,1.1096823196839467,2.2193646393678934,2.2193646393678934,73,False,"Palestine, State of",,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LVA,['Latvian'],1829000,92.7076,2024,,,,6.262213705476417,0.927076,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.206815579526078,2.427497137478686,2.206815579526078,2.206815579526078,74,False,Latvia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SVN,['Slovene'],2130638,90.7636,2024,,,,6.328509668410944,0.907636,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.183413442598638,1.091706721299319,2.183413442598638,2.183413442598638,75,False,Slovenia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CRI,['Spanish'],5309625,85.3951,2023,,,,6.725063849484161,0.853951,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.1829921907938648,2.4012914098732514,2.1829921907938648,2.1829921907938648,76,False,Costa Rica,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
PRI,"['English', 'Spanish']",3203295,87.2918,2022,,,,6.505596935845423,0.872918,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.1586559038962414,3.2379838558443623,2.1586559038962414,2.1586559038962414,77,False,Puerto Rico,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
EST,['Estonian'],1369995,92.238,2024,,,,6.1367189821371575,0.92238,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.151636645794563,2.3668003103740194,2.151636645794563,2.151636645794563,78,False,Estonia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LBN,"['Arabic', 'French']",5490000,83.4933,2023,,,,6.739572344450092,0.834933,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.1389802997713927,2.352878329748532,2.1389802997713927,2.1389802997713927,79,False,Lebanon,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BIH,"['Bosnian', 'Croatian', 'Serbian']",3422000,86.1009,2024,,,,6.534280005205082,0.8610089999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.1385935397658526,2.3524528937424383,2.1385935397658526,2.1385935397658526,80,False,Bosnia and Herzegovina,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BRN,['Malay'],455500,99.0336,2023,,,,5.658488381309017,0.9903360000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.1301285520785993,1.0650642760392997,2.1301285520785993,2.1301285520785993,81,False,Brunei Darussalam,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ECU,['Spanish'],18103660,77.1727,2024,,,,7.257766384654669,0.771727,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.1290678331703288,2.341974616487362,2.1290678331703288,2.1290678331703288,82,False,Ecuador,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
ISL,['Icelandic'],391810,99.8301,2023,,,,5.593075516113534,0.998301,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.1224379769645836,2.334681774661042,2.1224379769645836,2.1224379769645836,83,False,Iceland,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
PRY,"['Guaraní', 'Spanish']",6109644,81.5781,2024,,,,6.786015905276943,0.8157810000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.10431755397617,2.314749309373787,2.10431755397617,2.10431755397617,84,False,Paraguay,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
HRV,['Croatian'],3866233,83.6324,2024,,,,6.587288023403108,0.8363240000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.094131895788017,2.303545085366819,2.094131895788017,2.094131895788017,85,False,Croatia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MKD,['Macedonian'],1822612,87.1819,2023,,,,6.260694225323314,0.871819,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.0747780342807656,1.0373890171403828,2.0747780342807656,2.0747780342807656,86,False,North Macedonia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MNG,['Mongolian'],3544835,83.0162,2023,,,,6.549596025060067,0.830162,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.066808231286316,1.033404115643158,2.066808231286316,2.066808231286316,87,False,Mongolia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GEO,['Georgian'],4000921,81.8843,2023,,,,6.602159976122113,0.818843,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.054989006466388,1.027494503233194,2.054989006466388,2.054989006466388,88,False,Georgia,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
BHS,['English'],398165,94.8186,2023,,,,5.600063081470082,0.9481860000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.0184094760450884,3.0276142140676328,2.0184094760450884,2.0184094760450884,89,False,Bahamas,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ALB,['Albanian'],2363314,83.1356,2023,,,,6.373521427687243,0.831356,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.014138376561864,2.2155522142180506,2.014138376561864,2.014138376561864,90,True,Albania,Albania,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GHA,['English'],33742380,69.9445,2023,,,,7.52817571205314,0.6994450000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.0015485820248458,3.0023228730372686,2.0015485820248458,2.0015485820248458,91,True,Ghana,Ghana,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
TUN,['Arabic'],11972169,72.3542,2023,2025 Q2 P,69000.0,60.0,7.078172838743614,0.723542,False,4.838855384814572,p10,0.05,4.815572229111593,4.838855384814572,0.38753137844744096,0.5,False,1.9846858913640795,0.9923429456820397,1.9846858913640795,1.9846858913640795,92,True,Tunisia,Tunisia,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BTN,['Dzongkha'],784043,88.426,2023,,,,5.894339881754102,0.88426,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.9812440407389291,0.9906220203694646,1.9812440407389291,1.9812440407389291,93,True,Bhutan,Bhutan,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
MAC,"['Portuguese', 'Chinese']",685900,89.1806,2023,,,,5.836260802858487,0.891806,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.978462848044467,2.176309132848914,1.978462848044467,1.978462848044467,94,True,Macao,Macao,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
TTO,['English'],1367764,84.6994,2023,,,,6.136011168773308,0.846994,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.9755557683548137,2.9633336525322207,1.9755557683548137,1.9755557683548137,95,True,Trinidad and Tobago,Trinidad and Tobago,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ARM,['Armenian'],3076200,79.9966,2023,,,,6.488014567824043,0.799966,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.9729049575132567,0.9864524787566283,1.9729049575132567,1.9729049575132567,96,False,Armenia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BWA,"['English', 'Tswana']",2359609,81.36,2023,,,,6.372840043982482,0.8136,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.97090992531469,2.9563648879720352,1.97090992531469,1.97090992531469,97,False,Botswana,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MDA,['Romanian'],2749076,80.2126,2023,,,,6.439186746363795,0.8021259999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.9633441507034577,2.159678565773804,1.9633441507034577,1.9633441507034577,98,False,"Moldova, Republic of",,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MNE,['Montenegrin'],623327,88.8826,2024,,,,5.7947159391766885,0.888826,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.9578153094748663,2.153596840422353,1.9578153094748663,1.9578153094748663,99,False,Montenegro,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CUB,['Spanish'],9748007,71.275,2023,,,,6.988915832377714,0.7127500000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.893519818196959,2.082871800016655,1.893519818196959,1.893519818196959,100,False,Cuba,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BOL,"['Aymara', 'Guaraní', 'Quechua', 'Spanish']",11365333,70.2368,2023,,,,7.055582164913061,0.702368,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.8837375250853878,2.072111277593927,1.8837375250853878,1.8837375250853878,101,False,"Bolivia, Plurinational State of",,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ABW,"['Dutch', 'Papiamento']",107566,97.17,2017,,,,5.031675019046017,0.9717,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.8585215660452965,2.0443737226498264,1.8585215660452965,1.8585215660452965,102,False,Aruba,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
MUS,"['English', 'French', 'Mauritian Creole']",1243741,79.5,2023,,,,6.094729951108975,0.795,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.841808253253954,2.7627123798809308,1.841808253253954,1.841808253253954,103,False,Mauritius,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
MDV,['Maldivian'],515132,84.6851,2023,,,,5.711918529091912,0.846851,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.83870402900667,0.919352014503335,1.83870402900667,1.83870402900667,104,False,Maldives,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GUY,['English'],772975,81.7221,2023,,,,5.888165447944686,0.817221,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.8291206014903654,2.743680902235548,1.8291206014903654,1.8291206014903654,105,False,Guyana,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
BMU,['English'],64055,98.37,2017,,,,4.80655303552734,0.9837,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.7972944314849184,2.695941647227378,1.7972944314849184,1.7972944314849184,106,False,Bermuda,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
FJI,"['English', 'Fijian', 'Fiji Hindi']",900869,79.3485,2023,,,,5.954661642573458,0.793485,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.7960508524093486,2.694076278614023,1.7960508524093486,1.7960508524093486,107,False,Fiji,,25-05-2025,True,True,False,out,out_20251219T115521Z,no-language,p10,0.05
AND,['Catalan'],88406,95.4456,2023,,,,4.946481741013802,0.954456,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.794630900882126,1.9740939909703388,1.794630900882126,1.794630900882126,108,False,Andorra,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
FRO,"['Danish', 'Faroese']",54885,97.582,2017,,,,4.739453668542288,0.9758199999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.7580078733459599,1.933808660680556,1.7580078733459599,1.7580078733459599,109,False,Faroe Islands,,25-05-2025,True,True,False,out,out_20251219T115521Z,no-language,p10,0.05
GAB,['French'],2469296,71.9256,2023,,,,6.392573152897294,0.719256,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.7477608973856544,1.92253698712422,1.7477608973856544,1.7477608973856544,110,False,Gabon,,25-05-2025,True,True,False,out,out_20251219T115521Z,no-language,p10,0.05
VEN,['Spanish'],28517000,61.6,2017,,,,7.455103835626699,0.616,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.7456502203655964,1.9202152424021561,1.7456502203655964,1.7456502203655964,111,False,"Venezuela, Bolivarian Republic of",,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SLV,['Spanish'],6029976,67.6558,2023,,,,6.78031558360146,0.676558,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.743724062383252,1.9180964686215773,1.743724062383252,1.743724062383252,112,False,El Salvador,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MCO,['French'],38423,99.1497,2023,,,,4.584591270795872,0.991497,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.7278850471055702,1.9006735518161273,1.7278850471055702,1.7278850471055702,113,False,Monaco,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SUR,['Dutch'],616500,78.3958,2023,,,,5.789933080931751,0.7839579999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.7253974792676634,1.89793722719443,1.7253974792676634,1.7253974792676634,114,False,Suriname,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
PAN,['Spanish'],4064780,68.5485,2023,,,,6.60903704504163,0.685485,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.7221023553294894,1.8943125908624385,1.7221023553294894,1.7221023553294894,115,False,Panama,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MMR,['Burmese'],51316756,58.5357,2023,,,,7.710259194549563,0.585357,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.7155864712220805,0.8577932356110403,1.7155864712220805,1.7155864712220805,116,False,Myanmar,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LIE,['German'],40900,97.3444,2023,,,,4.611723308007342,0.973444,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.7064636203210943,1.8771099823532038,1.7064636203210943,1.7064636203210943,117,False,Liechtenstein,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
KIR,"['English', 'Gilbertese']",120740,88.0,2023,,,,5.081851171517454,0.88,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.6999158875428848,2.5498738313143274,1.6999158875428848,1.6999158875428848,118,False,Kiribati,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SYC,"['Seychellois Creole', 'English', 'French']",122729,87.4009,2023,,,,5.088947195586477,0.8740089999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.6907004488594228,2.536050673289134,1.6907004488594228,1.6907004488594228,119,False,Seychelles,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
NCL,['French'],264596,82.0058,2017,,,,5.422583274503567,0.820058,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.690338248040175,1.8593720728441927,1.690338248040175,1.690338248040175,120,False,New Caledonia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SEN,['French'],18593258,60.6122,2023,,,,7.26935549560564,0.606122,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.6748610160673516,1.8423471176740869,1.6748610160673516,1.6748610160673516,121,False,Senegal,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
KHM,['Khmer'],17577760,60.7171,2023,,,,7.244963530486225,0.607171,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.6721300155523997,0.8360650077761999,1.6721300155523997,1.6721300155523997,122,False,Cambodia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LUX,"['German', 'French', 'Luxembourgish']",681973,98.7606,2024,2025 Q2 P,34000.0,21.0,5.8337671808395735,0.987606,False,4.53149169022153,p10,0.05,4.815572229111593,4.53149169022153,0.28971713638516794,1.1,False,1.6691946980321115,1.8361141678353228,1.6691946980321115,1.6691946980321115,123,False,Luxembourg,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LAO,['Lao'],7647000,63.6255,2023,,,,6.88349109018893,0.636255,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.6648027383102344,0.8324013691551172,1.6648027383102344,1.6648027383102344,124,False,Lao People's Democratic Republic,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BRB,['English'],267800,79.9923,2023,2025 Q1 P,66000.0,166.0,5.42781057267599,0.799923,False,4.819550515711442,p10,0.05,4.815572229111593,4.819550515711442,0.3813878710239823,1.5,False,1.6559214971213516,2.4838822456820275,1.6559214971213516,1.6559214971213516,125,False,Barbados,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GIB,['English'],38000,94.4445,2016,,,,4.57978359661681,0.9444450000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.6441613985843082,2.4662420978764623,1.6441613985843082,1.6441613985843082,126,False,Gibraltar,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CPV,['Portuguese'],491233,73.539,2023,,,,5.6912875341031945,0.73539,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.590929980792515,1.7500229788717667,1.590929980792515,1.590929980792515,127,False,Cabo Verde,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GUM,"['Chamorro', 'English', 'Spanish']",153836,80.5055,2017,,,,5.187057978975404,0.805055,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.5873382177560338,2.381007326634051,1.5873382177560338,1.5873382177560338,128,False,Guam,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
NAM,"['Afrikaans', 'German', 'English', 'Herero', 'Khoekhoe', 'Kwangali', 'Lozi', 'Ndonga', 'Tswana']",3022401,64.4061,2023,,,,6.480352084269662,0.644061,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.5865304902072437,2.3797957353108656,1.5865304902072437,1.5865304902072437,129,False,Namibia,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
NPL,['Nepali'],29911840,55.7716,2023,,,,7.475843129088429,0.557716,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.5848789683403062,0.7924394841701531,1.5848789683403062,1.5848789683403062,130,False,Nepal,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
HND,['Spanish'],9892632,58.2789,2023,,,,6.995311853882634,0.582789,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.5496772054004875,1.7046449259405363,1.5496772054004875,1.5496772054004875,131,False,Honduras,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GTM,['Spanish'],18079810,56.0535,2023,,,,7.25719386217999,0.560535,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.54630186091693,1.700932047008623,1.54630186091693,1.54630186091693,132,False,Guatemala,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BLZ,"['Belizean Creole', 'English', 'Spanish']",417634,72.3595,2023,,,,5.620795847779911,0.723595,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.546023843583172,2.3190357653747578,1.546023843583172,1.546023843583172,133,False,Belize,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
DMA,['English'],67408,83.8255,2023,,,,4.828711441782772,0.8382550000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.5386159297038537,2.3079238945557807,1.5386159297038537,1.5386159297038537,134,False,Dominica,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CYM,['English'],84738,81.0677,2017,,,,4.928078209497234,0.810677,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.5186170162902746,2.2779255244354117,1.5186170162902746,1.5186170162902746,135,False,Cayman Islands,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
TJK,"['Russian', 'Tajik']",10499000,56.791,2023,,,,7.021147935720995,0.5679099999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,1.5156902551101317,0.7578451275550658,1.5156902551101317,1.5156902551101317,136,False,Tajikistan,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
NIC,['Spanish'],6803886,58.2314,2023,,,,6.832757028340634,0.582314,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.512432592736407,1.6636758520100479,1.512432592736407,1.512432592736407,137,False,Nicaragua,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
PYF,['French'],279500,72.7039,2017,,,,5.446381812222442,0.727039,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.505180594197773,1.6556986536175504,1.505180594197773,1.505180594197773,138,False,French Polynesia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SMR,['Italian'],34132,87.0278,2023,,,,4.533161736960601,0.870278,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.499622811443379,1.649585092587717,1.499622811443379,1.499622811443379,139,False,San Marino,,25-05-2025,True,True,False,out,out_20251219T115521Z,no-language,p10,0.05
DJI,"['Arabic', 'French']",1066809,65.0248,2023,,,,6.028086670904087,0.6502479999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.4899830628743802,1.6389813691618182,1.4899830628743802,1.4899830628743802,140,False,Djibouti,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ATG,['English'],103603,77.5756,2023,,,,5.015372331322167,0.7757559999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.478941997136672,2.218412995705008,1.478941997136672,1.478941997136672,141,False,Antigua and Barbuda,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
VCT,['English'],110872,75.9927,2023,,,,5.044821881759084,0.759927,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.4572716997442259,2.185907549616339,1.4572716997442259,1.4572716997442259,142,False,Saint Vincent and the Grenadines,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GNQ,"['French', 'Portuguese', 'Spanish']",1668768,60.3661,2023,,,,6.222395963208134,0.603661,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,1.4278203963687004,1.5706024360055706,1.4278203963687004,1.4278203963687004,143,False,Equatorial Guinea,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
GRD,['English'],109021,74.1201,2023,,,,5.037510161295513,0.7412009999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.419301789807363,2.1289526847110443,1.419301789807363,1.419301789807363,144,False,Grenada,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
LCA,['English'],184100,70.0834,2023,,,,5.265053788504015,0.700834,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,1.4026224761110402,2.10393371416656,1.4026224761110402,1.4026224761110402,145,False,Saint Lucia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
