alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli
MAR,"['Arabic', 'Berber']",36828330,91.0,2023,2025 Q1 P,284000.0,213.0,7.566182025989628,0.91,False,5.453319869250268,p10,0.05,4.815572229111593,5.453319869250268,0.583076196773631,0.5,False,4.014611182228045,2.0073055911140223,4.014611182228045,4.014611182228045,17,False,Morocco,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
AUT,['German'],9200931,94.9197,2024,2025 Q1 P,326000.0,420.0,6.963831773835327,0.9491970000000001,False,5.513218932257558,p10,0.05,4.815572229111593,5.513218932257558,0.6021382446061049,1.1,False,3.980162836907607,4.378179120598368,3.980162836907607,3.980162836907607,18,False,Austria,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
HUN,['Hungarian'],9539502,93.779,2024,2025 Q2 P,269000.0,141.0,6.979525703394117,0.93779,False,5.429753894477035,p10,0.05,4.815572229111593,5.429753894477035,0.5755766514419861,1.1,False,3.767338784039129,4.144072662443042,3.767338784039129,3.767338784039129,19,False,Hungary,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
DNK,['Danish'],6011488,99.7692,2024,2025 Q2 P,216000.0,178.0,6.778981984515728,0.997692,False,5.334455761768878,p10,0.05,4.815572229111593,5.334455761768878,0.5452493395805763,1.1,False,3.6877045386670275,4.0564749925337305,3.6877045386670275,3.6877045386670275,20,False,Denmark,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
MEX,['Spanish'],130575786,81.1832,2023,2025 Q2 P,207000.0,336.0,8.115862648749394,0.811832,False,5.315972443492825,p10,0.05,4.815572229111593,5.315972443492825,0.53936727933803,1.1,False,3.553738365778659,3.9091122023565252,3.553738365778659,3.553738365778659,21,False,Mexico,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CYP,"['Greek', 'Turkish']",1442614,91.2211,2023,2025 Q2 P,400000.0,364.0,6.159150142531189,0.9122110000000001,False,5.60206107706281,p10,0.05,4.815572229111593,5.60206107706281,0.6304110276646839,0.5,False,3.5419293778475436,1.7709646889237718,3.5419293778475436,3.5419293778475436,22,False,Cyprus,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
IND,"['English', 'Hindi', 'Tamil']",1417492000,55.9,2022,2025 Q1 P,619000.0,602.0,9.151520616513332,0.5589999999999999,False,5.791691350626146,p10,0.05,4.815572229111593,5.791691350626146,0.6907582378490811,1.5,False,3.5337119343785774,5.300567901567867,3.5337119343785774,3.5337119343785774,23,False,India,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CZE,"['Czech', 'Slovak']",10882341,87.6878,2024,2025 Q1 P,246000.0,108.0,7.036722330474317,0.8768779999999999,False,5.390936872524514,p10,0.05,4.815572229111593,5.390936872524514,0.5632236714115123,1.1,False,3.4752854933078723,3.82281404263866,3.4752854933078723,3.4752854933078723,24,False,Czechia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
EGY,['Arabic'],107271260,72.6899,2023,2025 Q2 P,303000.0,392.0,8.030483381842073,0.726899,False,5.481444061815061,p10,0.05,4.815572229111593,5.481444061815061,0.5920263318342504,0.5,False,3.45586510928996,1.72793255464498,3.45586510928996,3.45586510928996,25,False,Egypt,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
NOR,"['Norwegian Nynorsk', 'Norwegian Bokmål', 'Sami']",5606944,99.0,2023,2025 Q1 P,174000.0,168.0,6.7487262185539185,0.99,False,5.240551744220726,p10,0.05,4.815572229111593,5.240551744220726,0.5153656855750625,0.5,False,3.4432812952396046,1.7216406476198023,3.4432812952396046,3.4432812952396046,26,False,Norway,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
