alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,True,,p10,0.05,4.815572229111593,4.815572229111593,1.0,1.25,1.0,0.75,1.25,False,7.550419974793672,9.43802496849209,7.550419974793672,7.550419974793672,1,False,United Kingdom,,25-05-2025,multi,200.0,265.22691227836816,255.80604579648664,274.84243960671444,5.778938419864151e-108,1.192693730346332e-117,2.0547390767107524e-109,200,0.9,245,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,False,6.76342806844129,p10,0.05,4.815572229111593,6.76342806844129,1.0,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,2,False,Spain,,25-05-2025,multi,200.0,178.02665602076283,165.38078002106434,191.35834886304897,2.3098561850346e-67,1.4996360110698685e-81,2.480429996801721e-70,200,0.9,217,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,False,6.380934643985607,p10,0.05,4.815572229111593,6.380934643985607,0.8782767611624652,1.25,1.0,0.75,1.0,False,6.090296533279306,6.090296533279306,6.090296533279306,6.090296533279306,3,False,France,,25-05-2025,multi,200.0,168.6432334846221,159.99763828274638,177.22525358889067,3.7773090351231134e-67,1.9079893566540992e-75,5.224246670098523e-68,200,0.9,216,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,False,5.936514245134253,p10,0.05,4.815572229111593,5.936514245134253,0.7368461197582664,1.25,1.0,0.75,1.25,False,5.855514863938101,7.319393579922626,5.855514863938101,5.855514863938101,4,False,United States,,25-05-2025,multi,200.0,335.49667699877614,318.8445035055561,352.75318799088234,3.3918202215029343e-133,2.2320730595264723e-151,1.0744134928961235e-136,200,0.9,247,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,False,6.221414498679787,p10,0.05,4.815572229111593,6.221414498679787,0.8275116825886548,1.25,1.0,0.75,1.0,False,5.736917550700415,5.736917550700415,5.736917550700415,5.736917550700415,5,False,Italy,,25-05-2025,multi,200.0,173.4542449116189,165.8674489993419,180.98982763132744,5.4525088748405184e-70,4.516174921914429e-77,1.5291358947287636e-70,200,0.9,222,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,False,5.980458346558794,p10,0.05,4.815572229111593,5.980458346558794,0.7508307218747924,1.25,1.0,0.75,1.0,False,5.561203657995253,5.561203657995253,5.561203657995253,5.561203657995253,6,False,Germany,,25-05-2025,multi,200.0,232.18005568286753,224.00085166057525,240.73765250715167,4.813145030182857e-94,6.768773993155011e-103,1.1692764246041079e-95,200,0.9,238,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,False,6.198657361824261,p10,0.05,4.815572229111593,6.198657361824261,0.8202695387304548,1.25,1.0,0.75,0.75,False,4.965583309003473,3.7241874817526046,4.965583309003473,4.965583309003473,7,False,Greece,,25-05-2025,unknown,,100.6905084553163,94.99305319909259,106.49781721859257,3.1449792317573527e-40,5.969340563533421e-45,5.2812071759529e-40,200,0.9,177,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,False,5.831870413888987,p10,0.05,4.815572229111593,5.831870413888987,0.7035446686766728,1.25,1.0,0.75,1.0,False,4.9532723908557985,4.9532723908557985,4.9532723908557985,4.9532723908557985,8,False,Netherlands,,25-05-2025,multi,200.0,180.99706368048874,175.0765538577113,187.06191000477412,2.186672226303116e-74,1.0765428600311602e-79,1.6160302414917448e-74,200,0.9,227,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,False,5.912222588104283,p10,0.05,4.815572229111593,5.912222588104283,0.7291156360914521,1.25,1.0,0.75,1.0,False,4.891159966021486,4.891159966021486,4.891159966021486,4.891159966021486,9,False,Poland,,25-05-2025,unknown,,163.28772109099805,157.98031906065447,168.5703951407624,1.8957231846811382e-67,1.0413312170044506e-71,3.8781330666813204e-67,200,0.9,218,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,False,6.0390177189757335,p10,0.05,4.815572229111593,6.0390177189757335,0.769466431717457,1.25,1.0,0.75,1.0,False,4.787519614600149,4.787519614600149,4.787519614600149,4.787519614600149,10,False,Portugal,,25-05-2025,unknown,,113.66724236741057,108.38428132007297,119.02966804635129,4.53927403587517e-46,2.4083924160850593e-50,9.210248948958844e-46,200,0.9,185,False,False,False,bayes-v1,bayes-v1_20251220T165231Z,no-language,p10,0.05,1.25,1.0,0.75,200,1500,1500,0.9,0,0.9
