alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,True,,p10,0.05,4.815572229111593,4.815572229111593,1.0,1.25,1.0,0.75,1.25,False,7.550419974793672,9.43802496849209,7.550419974793672,7.550419974793672,1,False,United Kingdom,,25-05-2025,multi,25.0,32.547997180625,29.37588907739687,35.864412392535435,1.286831344710464e-12,9.526814150506694e-15,5.1310292733889056e-12,25,0.9,246,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,False,6.76342806844129,p10,0.05,4.815572229111593,6.76342806844129,1.0,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,2,False,Spain,,25-05-2025,multi,25.0,22.505331362812527,18.121416865106088,27.40081012443891,6.591841125105755e-08,3.44940375659373e-11,2.4443382516904356e-07,25,0.9,215,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,False,6.380934643985607,p10,0.05,4.815572229111593,6.380934643985607,0.8782767611624652,1.25,1.0,0.75,1.0,False,6.090296533279306,6.090296533279306,6.090296533279306,6.090296533279306,3,False,France,,25-05-2025,multi,25.0,21.304636380647878,18.254755037241612,24.527192710049203,5.108017695862729e-08,5.465422373014752e-10,2.1549471839657545e-07,25,0.9,217,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,False,5.936514245134253,p10,0.05,4.815572229111593,5.936514245134253,0.7368461197582664,1.25,1.0,0.75,1.25,False,5.855514863938101,7.319393579922626,5.855514863938101,5.855514863938101,4,False,United States,,25-05-2025,multi,25.0,40.573809220854336,35.08229024672113,46.471223561781606,6.890369295616074e-15,3.0548384546831544e-19,2.037246630132444e-14,25,0.9,248,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,False,6.221414498679787,p10,0.05,4.815572229111593,6.221414498679787,0.8275116825886548,1.25,1.0,0.75,1.0,False,5.736917550700415,5.736917550700415,5.736917550700415,5.736917550700415,5,False,Italy,,25-05-2025,multi,25.0,21.856929132794846,19.19675029092152,24.6231004886596,2.202812255786925e-08,4.985010924258185e-10,8.834561505477948e-08,25,0.9,223,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,False,5.980458346558794,p10,0.05,4.815572229111593,5.980458346558794,0.7508307218747924,1.25,1.0,0.75,1.0,False,5.561203657995253,5.561203657995253,5.561203657995253,5.561203657995253,6,False,Germany,,25-05-2025,multi,25.0,28.715138541420384,25.816896580591383,31.74102129548626,3.9207380247049774e-11,5.207994509419216e-13,1.5840480077852908e-10,25,0.9,238,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,False,6.198657361824261,p10,0.05,4.815572229111593,6.198657361824261,0.8202695387304548,1.25,1.0,0.75,0.75,False,4.965583309003473,3.7241874817526046,4.965583309003473,4.965583309003473,7,False,Greece,,25-05-2025,unknown,,13.160467489192424,11.100395387304646,15.415828422391305,4.900354130817848e-05,3.1114132807784257e-06,0.00016768646025821203,25,0.9,176,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,False,5.831870413888987,p10,0.05,4.815572229111593,5.831870413888987,0.7035446686766728,1.25,1.0,0.75,1.0,False,4.9532723908557985,4.9532723908557985,4.9532723908557985,4.9532723908557985,8,False,Netherlands,,25-05-2025,multi,25.0,22.760290114630358,20.688779803623845,24.904258103477957,6.172029369249036e-09,3.806202321411847e-10,2.141469960433135e-08,25,0.9,228,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,False,5.912222588104283,p10,0.05,4.815572229111593,5.912222588104283,0.7291156360914521,1.25,1.0,0.75,1.0,False,4.891159966021486,4.891159966021486,4.891159966021486,4.891159966021486,9,False,Poland,,25-05-2025,unknown,,20.638560302829,18.759108409637896,22.599327901513785,4.044376533529666e-08,3.462040320870793e-09,1.33731957798493e-07,25,0.9,219,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,False,6.0390177189757335,p10,0.05,4.815572229111593,6.0390177189757335,0.769466431717457,1.25,1.0,0.75,1.0,False,4.787519614600149,4.787519614600149,4.787519614600149,4.787519614600149,10,False,Portugal,,25-05-2025,unknown,,14.727559939304117,12.795165628512953,16.761817124518473,1.0536237988729711e-05,8.805565392543176e-07,3.549572774188999e-05,25,0.9,185,False,False,False,bayes-v1,bayes-v1_20251220T165306Z,no-language,p10,0.05,1.25,1.0,0.75,25,1500,1500,0.9,0,0.9
