alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,5.9804578922761005,5.9804578922761005,1.1,True,44.295662574870754,48.725228832357836,44.295662574870754,48.725228832357836,11,False,Germany,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,6.380934463330702,6.380934463330702,1.1,True,44.247764212352536,48.67254063358779,44.247764212352536,48.67254063358779,12,False,France,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,6.221414237842339,6.221414237842339,1.1,True,43.131403800370336,47.44454418040738,43.131403800370336,47.44454418040738,13,False,Italy,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
NZL,"['English', 'Māori', 'New Zealand Sign Language']",5324700,96.1638,2023,2025 Q1 P,65000.0,121.0,6.726295144126775,0.961638,4.812913356642856,4.812913356642856,1.5,True,31.131179808356084,46.69676971253413,31.131179808356084,46.69676971253413,14,False,New Zealand,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ZAF,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",63100945,75.6592,2023,2025 Q1 P,166000.0,223.0,7.800035863288702,0.7565919999999999,5.220108088040055,5.220108088040055,1.5,True,30.806179386434412,46.20926907965162,30.806179386434412,46.20926907965162,15,False,South Africa,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
PRI,"['English', 'Spanish']",3203295,87.2918,2022,,,,6.505596935845423,0.872918,,5.334453751150931,1.5,True,30.29357690661356,45.440365359920335,30.29357690661356,45.440365359920335,16,False,Puerto Rico,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,5.831869774280501,5.831869774280501,1.1,True,41.05899856272742,45.16489841900016,41.05899856272742,45.16489841900016,17,False,Netherlands,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
IND,"['English', 'Hindi', 'Tamil']",1417492000,55.9,2022,2025 Q1 P,619000.0,602.0,9.151520616513332,0.5589999999999999,5.791690649020118,5.791690649020118,1.5,True,29.628551995847076,44.442827993770614,29.628551995847076,44.442827993770614,18,False,India,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,5.912222056532415,5.912222056532415,1.1,True,39.66123122548625,43.62735434803488,39.66123122548625,43.62735434803488,19,False,Poland,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,97.3444,2023,2025 Q1 P,540000.0,560.0,6.958222046400911,0.973444,5.732393759822968,5.732393759822968,1.1,True,38.828022332293784,42.71082456552317,38.828022332293784,42.71082456552317,20,False,Switzerland,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
JAM,"['English', 'Jamaican Patois']",2825544,89.473,2023,2025 Q2 P,83000.0,76.0,6.4511020746169,0.89473,4.919078092376074,4.919078092376074,1.5,True,28.39289198558273,42.58933797837409,28.39289198558273,42.58933797837409,21,False,Jamaica,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
BHS,['English'],398165,94.8186,2023,,,,5.600063081470082,0.9481860000000001,,5.334453751150931,1.5,True,28.325423510642327,42.48813526596349,28.325423510642327,42.48813526596349,22,False,Bahamas,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
GHA,['English'],33742380,69.9445,2023,,,,7.52817571205314,0.6994450000000001,,5.334453751150931,1.5,True,28.088805535172245,42.13320830275837,28.088805535172245,42.13320830275837,23,False,Ghana,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ROU,['Romanian'],19036031,91.2905,2024,2025 Q2 P,548000.0,249.0,7.279576403371833,0.912905,5.738780558484369,5.738780558484369,1.1,True,38.13742026419831,41.95116229061814,38.13742026419831,41.95116229061814,24,False,Romania,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
TTO,['English'],1367764,84.6994,2023,,,,6.136011168773308,0.846994,,5.334453751150931,1.5,True,27.724034429915886,41.58605164487383,27.724034429915886,41.58605164487383,25,False,Trinidad and Tobago,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
BWA,"['English', 'Tswana']",2359609,81.36,2023,,,,6.372840043982482,0.8136,,5.334453751150931,1.5,True,27.658836820988025,41.488255231482036,27.658836820988025,41.488255231482036,26,False,Botswana,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
MLT,"['English', 'Maltese']",574250,92.0727,2023,2025 Q2 P,158000.0,153.0,5.759101003867063,0.920727,5.198657086954422,5.198657086954422,1.5,True,27.56619003121812,41.34928504682718,27.56619003121812,41.34928504682718,27,False,Malta,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,6.039017321997412,6.039017321997412,1.1,True,37.573976836703565,41.33137452037393,37.573976836703565,41.33137452037393,28,False,Portugal,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
BEL,"['German', 'French', 'Dutch']",11825551,95.7758,2024,2025 Q2 P,322000.0,172.0,7.072821385408543,0.957758,5.507855871695831,5.507855871695831,1.1,True,37.3104980320481,41.04154783525291,37.3104980320481,41.04154783525291,29,False,Belgium,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
CHL,['Spanish'],20206953,94.4574,2023,,,,7.3055008313257455,0.944574,,5.334453751150931,1.1,True,36.81085763165863,40.491943394824496,36.81085763165863,40.491943394824496,30,False,Chile,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ARG,"['Guaraní', 'Spanish']",46735004,89.6672,2024,,,,7.6696422841965495,0.8966719999999999,,5.334453751150931,1.1,True,36.685857211994154,40.354442933193575,36.685857211994154,40.354442933193575,31,False,Argentina,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
AUT,['German'],9200931,94.9197,2024,2025 Q1 P,326000.0,420.0,6.963831773835327,0.9491970000000001,5.513217600067939,5.513217600067939,1.1,True,36.44263422917097,40.08689765208807,36.44263422917097,40.08689765208807,32,False,Austria,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
DNK,['Danish'],6011488,99.7692,2024,2025 Q2 P,216000.0,178.0,6.778981984515728,0.997692,5.334453751150931,5.334453751150931,1.1,True,36.07870359744204,39.68657395718625,36.07870359744204,39.68657395718625,33,False,Denmark,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
HUN,['Hungarian'],9539502,93.779,2024,2025 Q2 P,269000.0,141.0,6.979525703394117,0.93779,5.429752280002408,5.429752280002408,1.1,True,35.53951728398028,39.093469012378314,35.53951728398028,39.093469012378314,34,False,Hungary,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
MUS,"['English', 'French', 'Mauritian Creole']",1243741,79.5,2023,,,,6.094729951108975,0.795,,5.334453751150931,1.5,True,25.847083764706436,38.77062564705965,25.847083764706436,38.77062564705965,35,False,Mauritius,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
MEX,['Spanish'],130575786,81.1832,2023,2025 Q2 P,207000.0,336.0,8.115862648749394,0.811832,5.315970345456917,5.315970345456917,1.1,True,35.025424217756886,38.52796663953258,35.025424217756886,38.52796663953258,36,False,Mexico,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
GUY,['English'],772975,81.7221,2023,,,,5.888165447944686,0.817221,,5.334453751150931,1.5,True,25.669031137712544,38.50354670656881,25.669031137712544,38.50354670656881,37,False,Guyana,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SWE,['Swedish'],10605098,95.5293,2024,2025 Q2 P,150000.0,90.0,7.025514686116378,0.9552930000000001,5.176091259055681,5.176091259055681,1.1,True,34.73894828371252,38.212843112083775,34.73894828371252,38.212843112083775,38,False,Sweden,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
BMU,['English'],64055,98.37,2017,,,,4.80655303552734,0.9837,,5.334453751150931,1.5,True,25.222397412085975,37.833596118128966,25.222397412085975,37.833596118128966,39,False,Bermuda,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
FJI,"['English', 'Fijian', 'Fiji Hindi']",900869,79.3485,2023,,,,5.954661642573458,0.793485,,5.334453751150931,1.5,True,25.204945599457,37.8074183991855,25.204945599457,37.8074183991855,40,False,Fiji,,25-05-2025,True,with-lang,with-lang_20251219T111037Z,with-language
DOM,['Spanish'],10771504,91.0022,2024,,,,7.032276347058217,0.910022,,5.334453751150931,1.1,True,34.137976467976806,37.55177411477449,34.137976467976806,37.55177411477449,41,False,Dominican Republic,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
BRA,['Portuguese'],213421037,84.4635,2024,2025 Q1 P,65000.0,115.0,8.329237225785352,0.8446349999999999,4.812913356642856,4.812913356642856,1.1,True,33.859640962522136,37.24560505877435,33.859640962522136,37.24560505877435,42,False,Brazil,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
CZE,"['Czech', 'Slovak']",10882341,87.6878,2024,2025 Q1 P,246000.0,108.0,7.036722330474317,0.8768779999999999,5.390935107103379,5.390935107103379,1.1,True,33.26394028526541,36.590334313791956,33.26394028526541,36.590334313791956,43,False,Czechia,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
PER,"['Aymara', 'Quechua', 'Spanish']",34350244,81.9571,2024,,,,7.535929826329404,0.8195709999999999,,5.334453751150931,1.1,True,32.946810857330945,36.24149194306404,32.946810857330945,36.24149194306404,44,False,Peru,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
KIR,"['English', 'Gilbertese']",120740,88.0,2023,,,,5.081851171517454,0.88,,5.334453751150931,1.5,True,23.855832039328988,35.78374805899348,23.855832039328988,35.78374805899348,45,False,Kiribati,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
