alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,97.3444,2023,2025 Q1 P,540000.0,560.0,6.958222046400911,0.973444,False,5.732394564071265,p10,0.05,4.815572229111593,5.732394564071265,0.6718878561624164,1.25,1.0,0.75,1.0,False,4.55099174566769,4.55099174566769,4.55099174566769,4.55099174566769,11,False,Switzerland,,25-05-2025,multi,100.0,78.44946971217942,74.59174244769248,82.48039746246096,1.0496891778606993e-31,1.2461494337481487e-34,3.005750611548723e-31,100,0.9,212,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
ROU,['Romanian'],19036031,91.2905,2024,2025 Q2 P,548000.0,249.0,7.279576403371833,0.912905,False,5.738781350991824,p10,0.05,4.815572229111593,5.738781350991824,0.6739203627103187,1.25,1.0,0.75,1.0,False,4.478579348932669,4.478579348932669,4.478579348932669,4.478579348932669,12,False,Romania,,25-05-2025,unknown,,78.1697281826979,75.02853492145968,81.46495929735741,4.771111112523792e-32,3.397859080803657e-34,1.9532048375471402e-31,100,0.9,214,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
ARE,['Arabic'],11294243,100.0,2024,2025 Q1 P,371000.0,540.0,7.052857127514885,1.0,False,5.569375080218541,p10,0.05,4.815572229111593,5.569375080218541,0.6200091615249462,1.25,1.0,0.75,0.75,False,4.372836033985744,3.279627025489308,4.372836033985744,4.372836033985744,13,False,United Arab Emirates,,25-05-2025,unknown,,94.25778390268309,89.51879627446883,99.20530228978319,1.6344929032132838e-37,8.169965123687316e-42,1.1868774175841954e-37,100,0.9,230,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
AUS,['English'],27536874,97.0631,2023,2025 Q1 P,287000.0,519.0,7.439914637387663,0.970631,False,5.457883409952547,p10,0.05,4.815572229111593,5.457883409952547,0.5845284804452755,1.25,1.0,0.75,1.25,False,4.2211208570062375,5.276401071257797,4.2211208570062375,4.2211208570062375,14,False,Australia,,25-05-2025,multi,100.0,111.2679254923121,106.00795074618313,116.75304510654455,2.005656659784312e-44,2.301898628033585e-49,9.698383741140423e-45,100,0.9,237,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
BEL,"['German', 'French', 'Dutch']",11825551,95.7758,2024,2025 Q2 P,322000.0,172.0,7.072821385408543,0.957758,False,5.507857220434364,p10,0.05,4.815572229111593,5.507857220434364,0.6004319540214719,1.25,1.0,0.75,1.0,False,4.067356837353003,4.067356837353003,4.067356837353003,4.067356837353003,15,False,Belgium,,25-05-2025,multi,100.0,84.63900875777463,81.01262364757306,88.476495307182,2.2857559755725447e-34,3.3263997215053565e-37,5.311501485613371e-34,100,0.9,223,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
THA,['Thai'],65859640,90.8672,2024,2025 Q1 P,255000.0,461.0,7.818619352454832,0.9086719999999999,False,5.406541883546231,p10,0.05,4.815572229111593,5.406541883546231,0.5681897502045318,1.25,1.0,0.75,0.75,False,4.036738446849811,3.0275538351373585,4.036738446849811,4.036738446849811,16,False,Thailand,,25-05-2025,unknown,,115.9422514056116,110.46189099080499,121.54141766816699,5.304723128406598e-47,1.99511494844234e-51,1.1755003450074165e-46,100,0.9,240,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
MAR,"['Arabic', 'Berber']",36828330,91.0,2023,2025 Q1 P,284000.0,213.0,7.566182025989628,0.91,False,5.453319869250268,p10,0.05,4.815572229111593,5.453319869250268,0.583076196773631,1.25,1.0,0.75,0.75,False,4.014611182228045,3.0109583866710334,4.014611182228045,4.014611182228045,17,False,Morocco,,25-05-2025,unknown,,98.92092498002563,94.91391728592774,102.95512948446427,1.6228760881247155e-40,1.994585048817918e-43,5.711387286358432e-40,100,0.9,233,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
AUT,['German'],9200931,94.9197,2024,2025 Q1 P,326000.0,420.0,6.963831773835327,0.9491970000000001,False,5.513218932257558,p10,0.05,4.815572229111593,5.513218932257558,0.6021382446061049,1.25,1.0,0.75,1.0,False,3.980162836907607,3.980162836907607,3.980162836907607,3.980162836907607,18,False,Austria,,25-05-2025,unknown,,77.0526475825893,73.47983565175812,80.64783171070641,2.6210440597748103e-31,7.615257946078563e-34,9.000798139746251e-31,100,0.9,211,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
HUN,['Hungarian'],9539502,93.779,2024,2025 Q2 P,269000.0,141.0,6.979525703394117,0.93779,False,5.429753894477035,p10,0.05,4.815572229111593,5.429753894477035,0.5755766514419861,1.25,1.0,0.75,1.0,False,3.767338784039129,3.767338784039129,3.767338784039129,3.767338784039129,19,False,Hungary,,25-05-2025,unknown,,76.61758132765257,73.11754892939807,80.14736716200679,3.8235842959131816e-31,1.248339571541068e-33,1.2867339690015161e-30,100,0.9,210,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
DNK,['Danish'],6011488,99.7692,2024,2025 Q2 P,216000.0,178.0,6.778981984515728,0.997692,False,5.334455761768878,p10,0.05,4.815572229111593,5.334455761768878,0.5452493395805763,1.25,1.0,0.75,1.0,False,3.6877045386670275,3.6877045386670275,3.6877045386670275,3.6877045386670275,20,False,Denmark,,25-05-2025,multi,100.0,84.39676905651521,79.61958974789808,89.4692044264812,1.972296681640586e-33,1.246498614194495e-37,2.1022200644198938e-33,100,0.9,220,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
MEX,['Spanish'],130575786,81.1832,2023,2025 Q2 P,207000.0,336.0,8.115862648749394,0.811832,False,5.315972443492825,p10,0.05,4.815572229111593,5.315972443492825,0.53936727933803,1.25,1.0,0.75,1.0,False,3.553738365778659,3.553738365778659,3.553738365778659,3.553738365778659,21,False,Mexico,,25-05-2025,unknown,,103.99519664109621,97.35437712616374,111.0596458461171,4.905813296067114e-41,6.500772055456158e-47,5.103721005769653e-41,100,0.9,235,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
CYP,"['Greek', 'Turkish']",1442614,91.2211,2023,2025 Q2 P,400000.0,364.0,6.159150142531189,0.9122110000000001,False,5.60206107706281,p10,0.05,4.815572229111593,5.60206107706281,0.6304110276646839,1.25,1.0,0.75,0.75,False,3.5419293778475436,2.656447033385658,3.5419293778475436,3.5419293778475436,22,False,Cyprus,,25-05-2025,unknown,,41.39760701098786,38.019335848232274,44.92986518520419,3.0535303391266476e-16,1.3795787238722852e-18,1.1706261546021458e-15,100,0.9,163,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
IND,"['English', 'Hindi', 'Tamil']",1417492000,55.9,2022,2025 Q1 P,619000.0,602.0,9.151520616513332,0.5589999999999999,False,5.791691350626146,p10,0.05,4.815572229111593,5.791691350626146,0.6907582378490811,1.25,1.0,0.75,1.25,False,3.5337119343785774,4.417139917973222,3.5337119343785774,3.5337119343785774,23,False,India,,25-05-2025,multi,100.0,76.3123755288937,65.36193753779348,88.84660247736386,4.356568372443942e-26,2.3072807134069986e-37,2.685349591991111e-27,100,0.9,191,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
CZE,"['Czech', 'Slovak']",10882341,87.6878,2024,2025 Q1 P,246000.0,108.0,7.036722330474317,0.8768779999999999,False,5.390936872524514,p10,0.05,4.815572229111593,5.390936872524514,0.5632236714115123,1.25,1.0,0.75,1.0,False,3.4752854933078723,3.4752854933078723,3.4752854933078723,3.4752854933078723,24,False,Czechia,,25-05-2025,unknown,,65.8963766665201,62.326024855236234,69.52135392174428,1.2169436279175505e-26,4.460694974032457e-29,5.331156329344349e-26,100,0.9,195,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
EGY,['Arabic'],107271260,72.6899,2023,2025 Q2 P,303000.0,392.0,8.030483381842073,0.726899,False,5.481444061815061,p10,0.05,4.815572229111593,5.481444061815061,0.5920263318342504,1.25,1.0,0.75,0.75,False,3.45586510928996,2.59189883196747,3.45586510928996,3.45586510928996,25,False,Egypt,,25-05-2025,unknown,,72.19503488033013,65.93791875367026,78.8219435380999,1.3531326905058824e-27,4.620745058186947e-33,1.5228873378981394e-27,100,0.9,197,False,False,False,bayes-smoke,bayes-smoke_20251220T164827Z,no-language,p10,0.05,1.25,1.0,0.75,100,300,300,0.9,0,0.9
