alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
GBR,['English'],69281437,96.2988,2023,,,,7.840616887015905,0.962988,True,,p10,0.05,4.815572229111593,4.815572229111593,1.0,1.25,1.0,0.75,1.25,False,7.550419974793672,9.43802496849209,7.550419974793672,7.550419974793672,1,False,United Kingdom,,25-05-2025,multi,10.0,12.658623062842928,10.746168221556607,14.674119595487719,7.004862255246423e-05,6.2181754554192386e-06,0.00023134082931943343,10,0.9,246,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,95.7575,2024,2025 Q2 P,5800000.0,4528.0,7.692987394784945,0.957575,False,6.76342806844129,p10,0.05,4.815572229111593,6.76342806844129,1.0,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,2,False,Spain,,25-05-2025,multi,10.0,9.168808932314349,6.491351072091799,12.413478065987015,0.0025487098697629146,5.044155674642967e-05,0.00984412582011111,10,0.9,216,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
FRA,['French'],66351959,88.6538,2024,2025 Q2 P,2404000.0,1695.0,7.821853749662105,0.886538,False,6.380934643985607,p10,0.05,4.815572229111593,6.380934643985607,0.8782767611624652,1.25,1.0,0.75,1.0,False,6.090296533279306,6.090296533279306,6.090296533279306,6.090296533279306,3,False,France,,25-05-2025,multi,10.0,8.657103729992505,6.809463935344517,10.725727068569718,0.0024456601770319183,0.0002356691097469669,0.007512774019307595,10,0.9,217,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
USA,['English'],340110988,93.1444,2023,2025 Q1 P,864000.0,1306.0,8.531620662955014,0.931444,False,5.936514245134253,p10,0.05,4.815572229111593,5.936514245134253,0.7368461197582664,1.25,1.0,0.75,1.25,False,5.855514863938101,7.319393579922626,5.855514863938101,5.855514863938101,4,False,United States,,25-05-2025,multi,10.0,15.417903443927676,12.26239279554316,18.945250647294074,1.3664574383797188e-05,1.1211986119213185e-07,5.79543069133319e-05,10,0.9,248,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
ITA,"['Italian', 'Catalan']",58927633,89.2207,2024,2025 Q2 P,1665000.0,1356.0,7.7703189967427955,0.892207,False,6.221414498679787,p10,0.05,4.815572229111593,6.221414498679787,0.8275116825886548,1.25,1.0,0.75,1.0,False,5.736917550700415,5.736917550700415,5.736917550700415,5.736917550700415,5,False,Italy,,25-05-2025,multi,10.0,8.847886984756927,7.2326111654298755,10.657838773333769,0.0018602158239612084,0.0002506274261807523,0.005226517941885379,10,0.9,223,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
DEU,['German'],83491249,93.5,2024,2025 Q2 P,956000.0,641.0,7.92164095799646,0.935,False,5.980458346558794,p10,0.05,4.815572229111593,5.980458346558794,0.7508307218747924,1.25,1.0,0.75,1.0,False,5.561203657995253,5.561203657995253,5.561203657995253,5.561203657995253,6,False,Germany,,25-05-2025,multi,10.0,11.30029431553764,9.54003370489497,13.193243116559366,0.00022410756258324608,2.4580962624888924e-05,0.0006860661409975903,10,0.9,238,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,False,6.198657361824261,p10,0.05,4.815572229111593,6.198657361824261,0.8202695387304548,1.25,1.0,0.75,0.75,False,4.965583309003473,3.7241874817526046,4.965583309003473,4.965583309003473,7,False,Greece,,25-05-2025,unknown,,5.633876385707913,4.3531002415439985,7.116969310937402,0.024717287608482384,0.0057734392102310695,0.05601073373490043,10,0.9,176,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
NLD,['Dutch'],18100436,97.0068,2023,2025 Q2 P,679000.0,437.0,7.257689036201425,0.9700679999999999,False,5.831870413888987,p10,0.05,4.815572229111593,5.831870413888987,0.7035446686766728,1.25,1.0,0.75,1.0,False,4.9532723908557985,4.9532723908557985,4.9532723908557985,4.9532723908557985,8,False,Netherlands,,25-05-2025,multi,10.0,9.197238632928187,7.896574259035338,10.588190814961683,0.0011950301059081062,0.0002669493797196325,0.002937650340491079,10,0.9,228,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
POL,['Polish'],37392000,88.585,2024,2025 Q1 P,817000.0,265.0,7.572778695048152,0.8858499999999999,False,5.912222588104283,p10,0.05,4.815572229111593,5.912222588104283,0.7291156360914521,1.25,1.0,0.75,1.0,False,4.891159966021486,4.891159966021486,4.891159966021486,4.891159966021486,9,False,Poland,,25-05-2025,unknown,,8.393598518514029,7.245049308553736,9.643373869125886,0.002304260751613725,0.0006254101862855098,0.005170784796859593,10,0.9,218,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
PRT,['Portuguese'],10749635,88.487,2024,2025 Q2 P,1094000.0,774.0,7.0313937181886415,0.8848699999999999,False,6.0390177189757335,p10,0.05,4.815572229111593,6.0390177189757335,0.769466431717457,1.25,1.0,0.75,1.0,False,4.787519614600149,4.787519614600149,4.787519614600149,4.787519614600149,10,False,Portugal,,25-05-2025,unknown,,6.223573484029986,5.032776922534296,7.548464059156293,0.01479909066568984,0.00397742794523476,0.03281711770426392,10,0.9,185,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,97.3444,2023,2025 Q1 P,540000.0,560.0,6.958222046400911,0.973444,False,5.732394564071265,p10,0.05,4.815572229111593,5.732394564071265,0.6718878561624164,1.25,1.0,0.75,1.0,False,4.55099174566769,4.55099174566769,4.55099174566769,4.55099174566769,11,False,Switzerland,,25-05-2025,multi,10.0,8.161918714432323,6.96893781304928,9.468344262939931,0.002858322108196514,0.0007315169593541038,0.006555342030221143,10,0.9,212,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
ROU,['Romanian'],19036031,91.2905,2024,2025 Q2 P,548000.0,249.0,7.279576403371833,0.912905,False,5.738781350991824,p10,0.05,4.815572229111593,5.738781350991824,0.6739203627103187,1.25,1.0,0.75,1.0,False,4.478579348932669,4.478579348932669,4.478579348932669,4.478579348932669,12,False,Romania,,25-05-2025,unknown,,8.096941430610698,7.085998223408657,9.14471473681714,0.0028371713619793066,0.0009764973135498254,0.005929132491333004,10,0.9,213,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
ARE,['Arabic'],11294243,100.0,2024,2025 Q1 P,371000.0,540.0,7.052857127514885,1.0,False,5.569375080218541,p10,0.05,4.815572229111593,5.569375080218541,0.6200091615249462,1.25,1.0,0.75,0.75,False,4.372836033985744,3.279627025489308,4.372836033985744,4.372836033985744,13,False,United Arab Emirates,,25-05-2025,unknown,,9.545280684726666,8.11221607089655,11.069373198523525,0.0009214006306174274,0.0001724866376363061,0.0024324775127789085,10,0.9,230,False,False,False,bayes-v1,bayes-v1_20251220T165250Z,no-language,p10,0.05,1.25,1.0,0.75,10,1500,1500,0.9,0,0.9
