alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
IRN,['Persian (Farsi)'],85961000,32.0,53.0,79.6309,2023,4935.672773012755,7.934301459075755,0.7963089999999999,1.25,1.0,0.75,0.75,False,6.3181556605751545,4.738616745431366,6.3181556605751545,6.3181556605751545,46,False,"Iran, Islamic Republic of",,25-05-2025,unknown,,6.723291799654721,6.592838276597999,6.853210877208744,834.1636063847781,729.8494484327874,946.9164631602429,3.094370918574796e-272,0.0,7.833366813e-315,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,17.646731082164038,0.817291,8.36109609941,1.3210971602693178,0.4889919567651042,-0.4596237816443448,226,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
FIN,"['Finnish', 'Swedish']",5650325,64.0,26.0,93.5139,2023,1926.1070315467211,6.752073428641965,0.935139,1.25,1.0,0.75,1.0,False,6.314127193986819,6.314127193986819,6.314127193986819,6.314127193986819,47,False,Finland,,25-05-2025,unknown,,-1.1210146715996867,-1.3591378090101147,-0.8684480350040488,0.3296752699619559,0.2568821639883032,0.4196022546384241,0.23559291961711806,0.198687911523329,0.27580800590778076,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,15.547223623592183,0.935139,7.563775209968284,0.5806535610471867,0.9050624777662287,-1.4728874950704767,33,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
IRQ,"['Arabic', 'Aramaic', 'Sorani']",46118793,33.0,44.0,81.7291,2023,4276.380632226291,7.663877932614442,0.817291,1.25,1.0,0.75,0.75,False,6.26361845942439,4.697713844568293,6.26361845942439,6.26361845942439,48,False,Iraq,,25-05-2025,observed_multi,234.0,5.113240112669864,4.994004934252078,5.232800614423284,166.65037228176504,147.52607418512378,187.31667138431206,4.558375041329746e-57,8.355654562375138e-80,1.2563456911129166e-62,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,12.878532307393002,0.998301,7.3212406622124915,-0.36052690264285897,1.1280602906054198,-1.7811090150976734,214,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
AZE,['Azerbaijani'],10241722,40.5,47.5,89.0,2023,3930.125892284722,7.010372983224158,0.89,1.25,1.0,0.75,0.75,False,6.239231955069501,4.679423966302126,6.239231955069501,6.239231955069501,49,False,Azerbaijan,,25-05-2025,unknown,,2.5914061204048,2.4544123273176037,2.7366364288015887,13.399083272449776,11.639591270896306,15.434981029175002,3.4028982060980626e-05,3.0561805786991432e-06,0.00010254806604543343,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,16.141980327500146,0.89,8.276681150420304,0.7904093267174193,0.7456961139121984,-0.5669012979049166,152,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
PRT,['Portuguese'],10749635,39.5,-8.0,88.487,2024,1674.3801395135133,7.0313937181886415,0.8848699999999999,1.25,1.0,0.75,1.0,False,6.221869359413582,6.221869359413582,6.221869359413582,6.221869359413582,50,False,Portugal,,25-05-2025,unknown,,-1.0131460682548523,-1.2429507714384085,-0.7747141858042002,0.36687677683881054,0.2885315708977211,0.46083547906142314,0.25261102229084487,0.2162149258772864,0.29067494574482305,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,15.625379064311183,0.8157810000000001,9.219784013612903,0.6082170238910543,0.48366079724850947,0.6316273270888051,29,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
BHR,['Arabic'],1594654,26.0,50.55,100.0,2024,5279.15754686833,6.202666466583464,1.0,1.25,1.0,0.75,0.75,False,6.202666466583464,4.651999849937598,6.202666466583464,6.202666466583464,51,False,Bahrain,,25-05-2025,unknown,,1.4088862433660942,1.1786013050611606,1.6562564961895196,4.134651035357962,3.249825509149541,5.2396594127583995,0.07214682851998881,0.027781001936096877,0.12603139913604297,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,14.282167342769135,1.0,8.571711214677183,0.13449995393956898,1.1340587277038934,-0.19196661045354918,66,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
UKR,['Ukrainian'],32862000,49.0,32.0,82.3755,2023,2393.292074218166,7.516693991312429,0.823755,1.25,1.0,0.75,0.75,False,6.191914258813569,4.643935694110177,6.191914258813569,6.191914258813569,52,False,Ukraine,,25-05-2025,unknown,,2.0357688327475905,1.857855092577973,2.214541974061195,7.703334128935222,6.40997321837124,9.157213910825622,0.004405134989916446,0.0009656858981982288,0.010544845432619328,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,0.0,,9.375282202934603,-4.902462095800549,0.0,0.829239950600361,115,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
ISR,"['Arabic', 'Hebrew']",10134800,31.47,35.13,88.1824,2024,3859.5903474815527,7.00581518275242,0.881824,1.25,1.0,0.75,0.75,False,6.177895967715471,4.633421975786603,6.177895967715471,6.177895967715471,53,False,Israel,,25-05-2025,unknown,,2.400321869182033,2.2648468184164314,2.5424919424653605,11.067185735569572,9.629649427839672,12.71130739923455,0.0002417948825259039,3.834772733423513e-05,0.0006331504880431123,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,17.89182068970841,0.892207,7.408334860674386,1.4075341149946603,0.7534880801725462,-1.6704266134197694,144,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
PER,"['Aymara', 'Quechua', 'Spanish']",34350244,-10.0,-76.0,81.9571,2024,9886.041920852245,7.535929826329404,0.8195709999999999,1.25,1.0,0.75,1.0,False,6.176229543694616,6.176229543694616,6.176229543694616,6.176229543694616,54,False,Peru,,25-05-2025,unknown,,8.132482805655508,8.042918832712758,8.223119399559074,3408.341941141298,3111.682429426384,3726.1074925276994,0.0,0.0,0.0,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,18.55279262955334,0.837661,9.295811893235234,1.6406423328890263,0.5609096517008936,0.7282462576225055,227,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
CZE,"['Czech', 'Slovak']",10882341,49.75,15.5,87.6878,2024,1286.7695582632664,7.036722330474317,0.8768779999999999,1.25,1.0,0.75,1.0,False,6.170347003701658,6.170347003701658,6.170347003701658,6.170347003701658,55,False,Czechia,,25-05-2025,unknown,,-2.2033385509934926,-2.4633643000791587,-1.9349622137306468,0.1119146989995184,0.08514800613631655,0.14442972751338123,0.09977814857969014,0.07819791499700027,0.12500620128434542,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,16.202651941688483,0.8768779999999999,7.160666976265336,0.8118066826528858,0.6993679846560652,-1.9851717600425114,56,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
IDN,['Indonesian'],284438782,-5.0,120.0,72.7808,2024,12496.473829025206,8.453988810272648,0.727808,1.25,1.0,0.75,0.75,False,6.152880688026915,4.614660516020186,6.152880688026915,6.152880688026915,56,False,Indonesia,,25-05-2025,unknown,,12.287358896839523,12.08316400368296,12.49387861785708,218640.63282103356,176868.89023510792,266699.7087266389,0.0,0.0,0.0,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,11.344861779922974,,5.113501075206003,-0.9014140144006216,0.0,-4.586782918580163,227,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
LBY,['Arabic'],7459000,25.0,17.0,88.4989,2023,3587.601937185113,6.8726806071519295,0.884989,1.25,1.0,0.75,0.75,False,6.082246737842779,4.561685053382084,6.082246737842779,6.082246737842779,57,False,Libya,,25-05-2025,unknown,,1.5156269736706809,1.366553389799061,1.6707061839055726,4.572245186763545,3.9218104242385583,5.315920503458911,0.049657379458930936,0.026115813318000346,0.07767226510696214,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,12.123234367221169,0.700834,8.818555073218446,-0.626901533998689,0.07783245754383662,0.12173133482051442,75,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
KGZ,"['Kyrgyz', 'Russian']",7281800,41.0,75.0,88.4701,2023,5660.831518833146,6.86223874654393,0.8847010000000001,1.25,1.0,0.75,0.75,False,6.071029481306162,4.553272110979622,6.071029481306162,6.071029481306162,58,False,Kyrgyzstan,,25-05-2025,unknown,,3.4119525556994055,3.29645795348807,3.534060516748033,30.403966822737402,27.016774575349658,34.26281025408519,1.3947323171603047e-11,4.5151643448840596e-14,4.993412237002661e-11,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,16.682145024583093,0.607171,9.201894107833127,0.9809118614180554,-0.25285124696135886,0.608892199233378,202,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
GRC,['Greek'],10400720,39.0,22.0,86.2697,2024,2459.012756670915,7.017063404799118,0.862697,1.25,1.0,0.75,0.75,False,6.053599548129985,4.540199661097489,6.053599548129985,6.053599548129985,59,False,Greece,,25-05-2025,unknown,,0.30978966186406864,0.13373060833121203,0.4931957297342451,1.3715210636686244,1.143084841633237,1.6375410068707492,0.34617746228358837,0.3184323347098205,0.36444339465808556,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,11.599295803205079,0.7412009999999999,8.848346998804203,-0.8116815187172196,0.22035094509773956,0.15959197229895292,6,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
SVK,['Slovak'],5413813,48.66666666,19.5,89.8251,2024,1599.2587468398117,6.733503250608721,0.898251,1.25,1.0,0.75,1.0,False,6.048376028362535,6.048376028362535,6.048376028362535,6.048376028362535,60,False,Slovakia,,25-05-2025,unknown,,-2.418877482364664,-2.665086399757165,-2.163225975001544,0.09009689596518337,0.06959334160628067,0.11495368554399021,0.08216131441042714,0.06491479437691954,0.10247056916634889,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,14.57193202335173,0.907636,7.300731190645091,0.23669268592632434,0.8079612326106559,-1.807173180223641,62,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
URY,['Spanish'],3499451,-33.0,-56.0,91.9911,2024,10972.411931889446,6.543999916815401,0.919911,1.25,1.0,0.75,1.0,False,6.019897507477572,6.019897507477572,6.019897507477572,6.019897507477572,61,False,Uruguay,,25-05-2025,unknown,,5.183189978341208,5.025873342582685,5.344669747224426,179.10150492434434,152.30321115257027,209.48868895452128,1.4799013723484835e-54,2.1947195748913686e-89,1.0921436221507821e-64,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,19.64478255760019,0.931444,8.850753199570008,2.025759780000802,0.892017024512044,0.1626498577193576,212,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
SRB,['Serbian'],6567783,44.0,21.0,87.6907,2024,1998.6345021182503,6.81741879522901,0.8769070000000001,1.25,1.0,0.75,1.0,False,5.978242263467886,5.978242263467886,5.978242263467886,5.978242263467886,62,False,Serbia,,25-05-2025,unknown,,-1.326325928486882,-1.5362082223087126,-1.1092104873551722,0.26777502608644566,0.21519553104048442,0.3298192563301441,0.20403450512883872,0.1735301796570058,0.23715775179006293,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,16.574690913480765,0.0927123,8.693094368728552,0.9430154927002496,-2.0691832962329726,-0.03770858579852479,38,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
COL,['Spanish'],53057212,4.0,-72.0,77.3369,2023,8351.75380499986,7.724744425351789,0.773369,1.25,1.0,0.75,1.0,False,5.974077871489888,5.974077871489888,5.974077871489888,5.974077871489888,63,False,Colombia,,25-05-2025,unknown,,7.750429989259227,7.6512090676642295,7.848833720363409,2326.77607091522,2103.1869496482436,2562.7436976201843,0.0,0.0,0.0,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,17.786881361003886,0.773369,9.030346560479794,1.370524646926951,0.33392229564729664,0.39088348133550127,227,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
DZA,['Arabic'],47400000,28.0,3.0,76.9081,2023,2919.638592728831,7.675778341674085,0.769081,1.25,1.0,0.75,0.75,False,5.903295282793047,4.427471462094785,5.903295282793047,5.903295282793047,64,False,Algeria,,25-05-2025,unknown,,2.9903117704708313,2.8363026299721157,3.145799571959893,19.98166237327105,17.05259906675103,23.238248701298915,1.657851265188365e-07,1.8791447150295057e-09,6.697934650932582e-07,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,17.674132786665304,0.769081,7.979557567491823,1.3307610538758399,0.31878321484785327,-0.944496503262442,182,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
ZAF,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",63100945,-29.0,24.0,75.6592,2023,9562.226924415081,7.800035863288702,0.7565919999999999,1.25,1.0,0.75,1.25,False,5.901444733877325,7.3768059173466565,5.901444733877325,5.901444733877325,65,False,South Africa,,25-05-2025,unknown,,8.481929508876489,8.367077728764588,8.596441348928494,4838.518030331503,4303.0430137348,5412.364562912589,0.0,0.0,0.0,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,16.795795280097252,0.33,9.01831776791444,1.0209934547945616,-1.2314226472091578,0.37559686438590884,227,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
PSE,['Arabic'],5483450,31.9,35.2,86.6377,2023,3826.448231959289,6.739053887776157,0.866377,1.25,1.0,0.75,0.75,False,5.838561290129843,4.378920967597383,5.838561290129843,5.838561290129843,66,False,"Palestine, State of",,25-05-2025,unknown,,0.968356761587418,0.8263417759202855,1.1143197050846758,2.643853555498682,2.284944594085457,3.0474942802004774,0.18917431745779245,0.1446881453414436,0.2325609779290147,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,12.540757571577291,0.727039,9.62290542472566,-0.4796515764288793,0.17035102385666734,1.1439283383813899,43,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
EGY,['Arabic'],107271260,27.0,30.0,72.6899,2023,3976.8298678628234,8.030483381842073,0.726899,1.25,1.0,0.75,0.75,False,5.837350339777621,4.3780127548332155,5.837350339777621,5.837350339777621,67,False,Egypt,,25-05-2025,unknown,,5.451878261523384,5.292470621050286,5.613257437125771,234.32090527434448,198.83406302091873,274.0354390498916,2.386581242702514e-71,2.665283960287506e-117,8.83045215579956e-85,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,18.49087132456597,0.726899,8.288491690239606,1.6188042423663238,0.1698567441663869,-0.551892044299065,216,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
LVA,['Latvian'],1829000,57.0,25.0,92.7076,2024,1720.970683241863,6.262213705476417,0.927076,1.25,1.0,0.75,1.0,False,5.805548033218255,5.805548033218255,5.805548033218255,5.805548033218255,68,False,Latvia,,25-05-2025,unknown,,-3.932861311821549,-4.2065083587393195,-3.650673054531048,0.019873871978802336,0.014898298136059666,0.025973642217812558,0.019471448826627914,0.014677984076028239,0.0253076980637429,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,13.438487123487413,0.891806,9.165260163392075,-0.16304488954596574,0.7520723219168147,0.5623364811111825,92,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
JAM,"['English', 'Jamaican Patois']",2825544,18.25,-77.5,89.473,2023,7433.504947333831,6.4511020746169,0.89473,1.25,1.0,0.75,1.25,False,5.771994559221979,7.214993199027474,5.771994559221979,5.771994559221979,69,False,Jamaica,,25-05-2025,unknown,,2.809548069683676,2.6646902018967906,2.958657200630435,16.669775221342032,14.363499074321858,19.272075842828713,2.317495756028452e-06,8.22568935956381e-08,8.303704191785883e-06,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,11.545073146180547,,6.271556846800695,-0.8308044892800115,0.0,-3.115084500767195,174,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
LUX,"['German', 'French', 'Luxembourgish']",681973,49.75,6.16666666,98.7606,2024,732.4403321678262,5.8337671808395735,0.987606,1.25,1.0,0.75,1.0,False,5.761463470400248,5.761463470400248,5.761463470400248,5.761463470400248,70,False,Luxembourg,,25-05-2025,unknown,,-8.848567587651349,-9.262978814966045,-8.420453243797343,0.0001484397271703524,9.487329682414715e-05,0.0002203157739238692,0.00014841616314961075,9.48642963086518e-05,0.00022026724023018108,0.9,1.0,3842.0,20.0,4.0,4.0,12.0,-2.353946211285104,-2.483953725410222,-2.221771369474681,5.0,95.0,1.0,6.0,1.0,True,13.900796422998402,2.8354724934856366,5.629866262492893,5.476434422349469,5.782036096429868,0.6787887,0.2832404461542748,3.2191594724889137,3.0397688625979153,3.4225503116310185,8.722766647297384,0.7868838870640574,3.360481244434161,3.2499998351506054,3.469990415879748,14.419279927373003,0.927076,7.451224660012243,0.1828561220628279,0.8765954981752974,-1.6159207326374305,147,bayes-distance,bayes-distance_20251221T000513Z,no-language,1.25,1.0,0.75,2000,2000,0.95,0,0.9
