alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,7.93186338304354,7.869287775121644,7.982419047275049,2786.5392522435386,2615.7019565977557,2929.0079096882196,0.0,0.0,0.0,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,21.065634938547873,0.92,2.5125798297905924,0.8706394328143748,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,248
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,6.619745216453766,6.614587053530923,6.622280783835688,749.7564826868827,745.8966513455193,751.6575118496265,1.235e-321,0.0,0.0,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,17.449397726957166,0.8901359999999999,1.197139640098785,0.7603970232596441,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,247
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,5.8858900486780295,5.849493722770587,5.928774589995099,360.03469075648826,347.0586281141534,375.69385262818173,8.411212255217157e-149,2.5886122888555273e-161,6.527635833751512e-149,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,16.46203770461362,0.342005,0.8379781749928003,-1.263018533653156,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,246
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,4.965112808570279,4.833303455012893,5.103730775360814,143.8274531159302,125.62527342597417,164.63497909695013,3.3002140942561488e-53,5.2054607427943316e-70,3.473090652137701e-53,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,17.760233059555436,0.26438300000000003,1.310208906563228,-1.5495587263419208,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,240
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,5.1508114431544385,5.049644684561284,5.259660681612929,172.93915907689663,155.9670371463734,192.41618986887363,2.6006935811613697e-66,5.235427342623133e-82,2.8668788826378287e-66,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,15.400912712032026,0.9974729999999999,0.4519840103803944,1.1566295947295104,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,242
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,5.255266282914752,5.209503414221988,5.312763781135614,191.67965350886632,183.0031588613112,202.91025367033367,1.853278999181946e-78,1.5293275197674303e-86,6.098128249140977e-78,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,18.24025238193372,0.935,1.4848204354920134,0.9260116583474901,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,244
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,4.7624886290668575,4.6479334953971865,4.887417231724455,117.3654090197531,104.36908338544927,132.61062884389176,1.9477239707155299e-44,3.3924542080025994e-56,4.916488340202689e-44,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,12.67888794332868,,-0.538178019536296,0.0,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,236
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,4.9284595226456025,4.845888266092787,5.022676281086532,138.38244902033708,127.21623369847408,151.81706572800024,2.4295170133845733e-54,1.770136224118181e-64,7.165306462655397e-54,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,17.713758095822914,0.957575,1.2933032027802243,1.0093468577748281,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,241
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,4.463034820000623,4.35072791118254,4.588993392510099,86.99622334974823,77.53488090959576,98.39533481583726,3.8136042375164464e-33,1.8214765168438684e-41,1.6463668196965502e-32,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,17.131036537197033,0.970631,1.0813327725331578,1.057542842878852,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,228
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,4.60406744994124,4.532989037004657,4.6911365632152116,100.02111390119796,93.03623465647027,108.97696866204703,7.688826714997734e-40,5.119630041409262e-46,3.660408878343114e-39,0.9,3.28,4.0,23.0,5.0,4.0,14.0,12.0,-0.9809090390953643,-1.045278492178387,-0.9196476469435143,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.731188173903105,2.6265497324850178,2.813778570749122,0.6841490590909092,0.2708939338374484,2.3551013516573795,2.104555170293675,2.5584955237453477,17.544851613664733,0.9395640000000001,1.2318618863150914,0.942859580836366,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed1,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed1_20251221T161055Z,232
