alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,10.463443341111784,7.808227359273897,11.745336784723435,66429.10932544054,2460.7645154429633,126163.85591109567,0.0,0.0,0.0,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,248
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,1.1214834330082746,-1.8778751604665356,5.099469756584632,35.80086415347587,0.15291468193702423,163.93495896603602,0.15040631624716488,1.0438396321410417e-69,0.3451016670314242,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,61
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,8.114062140802137,5.584677107821274,9.377463575511175,6254.9340590614665,266.3142780591173,11818.998705889862,1.2877929074250515e-112,0.0,5.8421552608014335e-114,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,245
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,4.93157584482291,2.056476328829329,6.187390930471522,275.1317627974934,7.818371847861165,486.5749408059826,0.0005067749710490269,2.346053843079191e-209,0.0031451443116500524,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,206
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,5.109110784777965,2.3469680733408262,6.382817134467431,319.9125104258128,10.453826396787242,591.591956457017,4.421279829633529e-05,7.02916010963669e-255,0.00030146449971795895,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,218
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,3.185389001634873,0.5646496322632998,5.379761595420901,67.35096679960729,1.7588314421202667,216.97054250924762,0.06384393811767759,1.2802457501968336e-92,0.3029517255059073,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,128
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,2.1517082930574736,-0.7363617715143209,4.55176837037088,28.29140920733294,0.47885292750441766,94.7999015216732,0.08461130400382202,6.393432262546487e-40,0.3488933340985608,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,112
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,5.780881710916371,3.2457735572036457,6.622025162559684,565.2725871696266,25.681568541799468,751.4653967527341,2.544267292775482e-11,0.0,1.8040893452349468e-10,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,235
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,-1.0821104263731203,-4.060858778243903,2.617209285960969,3.109983590449725,0.017234213558885547,13.697444547205231,0.08629301055099976,1.5413986273501135e-05,0.33122048579349733,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,110
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,-0.024946027740689044,-2.7594025402866094,3.2525046394402306,6.169194501120064,0.06332959502646626,25.855016385865312,0.13749717579842563,1.5270522808386e-10,0.363592307421554,0.9,3.91,4.0,23.0,5.0,4.0,14.0,12.0,-0.8010448305730828,-1.0867858503309806,-0.6221565527223964,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.626130314446485,2.2649528049268066,3.090308616208864,0.6841490590909092,0.2708939338374484,2.2776481253158187,0.1960398615830896,3.2951486320466516,0.32363846153846154,0.2659810274855117,-2.2754157918393765,-3.1603593337339437,-1.2273179130720233,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T163201Z,66
