alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,18.475046116368844,18.128301160654342,18.83651418951424,108078472.9319007,74648512.90582004,151563341.4434801,0.0,0.0,0.0,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,21.065634938547873,0.92,8.976057949814678,0.01,2.580245381036206,0.8332408901783718,0.31561816509784074,-1.1233538544594917,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,227
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,7.365868576640323,6.999485758074565,7.720803650141519,1619.8372119844043,1096.069368686849,2254.7709002645256,1.3123215585140396e-303,0.0,0.0,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,17.449397726957166,0.8901359999999999,8.51073982360534,,1.2560053821472685,0.7249701187353262,-0.30180666064928563,0.0,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,226
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,12.222795147481651,11.990854260846227,12.461018049917069,205461.28731564718,161273.06527684536,258078.23426163875,0.0,0.0,0.0,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,16.46203770461362,0.342005,8.838081925572382,0.15,0.8944412594452475,-1.262257520624698,0.13253949713562344,-0.6172978987863236,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,227
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,7.13679579511087,7.006767046784032,7.270471758842314,1261.4411242438418,1104.0792922269982,1437.2283183031998,0.0,0.0,0.0,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,17.760233059555436,0.26438300000000003,8.546634970003979,,1.3698310402582063,-1.5436730651248334,-0.25417783799650817,0.0,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,227
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,9.693833652080546,9.561408126257952,9.827610878532171,16271.09644587134,14205.83573284041,18538.610283799782,0.0,0.0,0.0,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,15.400912712032026,0.9974729999999999,8.450786304958566,,0.5058649363839726,1.114116240968856,-0.38135823777129557,0.0,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,227
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,0.12069102847984542,-0.22864812147215482,0.47389080322228605,1.1540041529935388,0.7956084437304369,1.6062315871264328,0.356232943008617,0.32212546572879813,0.3678375855335167,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,18.24025238193372,0.935,6.704146221648854,0.56,1.545610655847437,0.887622807257319,-2.6989532084758854,0.864723114256526,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,7
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,7.23094528965511,6.981216479117009,7.472081851266496,1397.1306766028638,1076.22677844673,1758.263322893774,0.0,0.0,0.0,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,12.67888794332868,,9.066585343713683,,-0.49092091193646514,0.0,0.4357378364692702,0.0,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,227
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,4.232996853449072,3.943966218665971,4.530630256579314,70.01696779086362,51.62294380868445,92.81704218854655,1.7749781658639062e-17,4.5471223750957385e-39,1.9646529651583536e-21,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,17.713758095822914,0.957575,7.355600266359302,0.22,1.3528122435586265,0.9694675924611341,-1.8345469509456211,-0.3642699209497395,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,204
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,False,unknown,,4.899797009254579,4.4528544850895635,5.3342266648137855,139.14347658946596,85.87171401929635,207.3123664789583,3.5623935606737575e-23,1.9149092946647834e-88,4.367557437969897e-36,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,17.131036537197033,0.970631,9.635180726298632,0.97,1.1394238093945255,1.01680161308665,1.190199967298008,2.346744127299375,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,209
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,2.633931463837774,2.3281370661492646,2.9310997991854046,14.167292137180604,10.258812233469092,18.748238465561474,8.403921728193486e-05,1.3511513309932582e-07,0.00035954358126574803,0.9,1.0,3893.0,22.0,5.0,4.0,13.0,-2.2567023426799513,-2.4111247379844487,-2.105986630739071,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.901747500086622,5.7465762297684915,6.061957527885162,0.6901696809523811,0.27582698083674123,2.5687435080050003,2.4665427865248595,2.6744282021249055,8.738194412333426,0.7536433696948793,2.6202918045280152,2.492212697621282,2.744220774821073,0.32077500000000003,0.27664924882421066,-2.257879743967803,-2.4081750014813297,-2.113892535659965,17.544851613664733,0.9395640000000001,8.556181787988972,0.8621,1.290959907371008,0.9041694118938733,-0.24151028412569137,1.9567195728912692,nb-ablate-dist-eng-dist1_eng1-seed1,nb-ablate-dist-eng-dist1-eng1-seed1_20251221T141059Z,132
