alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
ZAF,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",63100945,75.6592,2023,7.800035863288702,0.7565919999999999,1.25,1.0,0.75,1.25,False,5.901444733877325,7.3768059173466565,5.901444733877325,5.901444733877325,66,False,South Africa,,25-05-2025,unknown,,5.595464200024712,5.503498387045475,5.684847730953302,269.6238157303291,245.54945847978044,294.37301847310124,1.545300933729195e-97,4.211249137328978e-126,5.615218633909851e-105,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,17.960246303627507,0.7565919999999999,1.4316661120696808,0.2746899359056304,214,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
PSE,['Arabic'],5483450,86.6377,2023,6.739053887776157,0.866377,1.25,1.0,0.75,0.75,False,5.838561290129843,4.378920967597383,5.838561290129843,5.838561290129843,67,False,"Palestine, State of",,25-05-2025,unknown,,3.2745913924759895,3.175206475552426,3.3708188286585616,26.4771345884981,23.931761253952576,29.102347262674698,2.333035787864239e-10,6.682525410644904e-12,9.672712539693272e-10,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.517245022876946,0.866377,0.5700808608061821,0.6622934773158236,181,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
EGY,['Arabic'],107271260,72.6899,2023,8.030483381842073,0.726899,1.25,1.0,0.75,0.75,False,5.837350339777621,4.3780127548332155,5.837350339777621,5.837350339777621,68,False,Egypt,,25-05-2025,unknown,,6.021214754257404,5.906673976977275,6.1350315717275485,413.1209046366656,367.48186772541465,461.7536795245971,1.5416532898769327e-140,1.344786630062484e-198,9.331343543486151e-158,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,18.49087132456597,0.726899,1.6188042423663238,0.1698567441663869,217,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
LVA,['Latvian'],1829000,92.7076,2024,6.262213705476417,0.927076,1.25,1.0,0.75,1.0,False,5.805548033218255,5.805548033218255,5.805548033218255,5.805548033218255,69,False,Latvia,,25-05-2025,unknown,,2.383696370129282,2.2273990644463355,2.5355933456394166,10.891070218406336,9.27570930829418,12.623918980817729,0.0002962928004081269,4.156194602962709e-05,0.0008688768776399468,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.419279927373003,0.927076,0.1828561220628279,0.8765954981752974,136,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
JAM,"['English', 'Jamaican Patois']",2825544,89.473,2023,6.4511020746169,0.89473,1.25,1.0,0.75,1.25,False,5.771994559221979,7.214993199027474,5.771994559221979,5.771994559221979,70,False,Jamaica,,25-05-2025,unknown,,2.62537236294526,2.494681287121848,2.7522006554006726,13.850519431189554,12.117870793425555,15.677093833115176,2.1016936061820873e-05,2.436633518668087e-06,6.617621856759252e-05,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.854211470395835,0.89473,0.3362455638655847,0.7623957063052413,152,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
LUX,"['German', 'French', 'Luxembourgish']",681973,98.7606,2024,5.8337671808395735,0.987606,1.25,1.0,0.75,1.0,False,5.761463470400248,5.761463470400248,5.761463470400248,5.761463470400248,71,False,Luxembourg,,25-05-2025,unknown,,1.6634908616375368,1.4530602458460833,1.8747537976432718,5.320189829440254,4.276181264481836,6.519214419217498,0.02967949854118699,0.00961473851031594,0.05942028906684714,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,13.432745346599102,0.987606,-0.16506987018023464,1.090300852837218,78,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
SVN,['Slovene'],2130638,90.7636,2024,6.328509668410944,0.907636,1.25,1.0,0.75,0.75,False,5.743983201397835,4.3079874010483765,5.743983201397835,5.743983201397835,72,False,Slovenia,,25-05-2025,unknown,,2.360162316254527,2.2150813629882182,2.5016964904253554,10.63146591708455,9.16215471817983,12.203179070492437,0.00035117293025585614,6.119275711254252e-05,0.0009614460775807455,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.57193202335173,0.907636,0.23669268592632434,0.8079612326106559,134,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
CRI,['Spanish'],5309625,85.3951,2023,6.725063849484161,0.853951,1.25,1.0,0.75,1.0,False,5.742874999330849,5.742874999330849,5.742874999330849,5.742874999330849,73,False,Costa Rica,,25-05-2025,observed_multi,183.0,3.0581013780382764,2.9599994375612746,3.1537851938726145,21.321922905978916,19.297960902633157,23.42456350570898,2.2232009980251066e-08,1.5722185272577284e-09,8.026264926774643e-08,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.485031769255382,0.853951,0.5587200545576392,0.6184226242342273,172,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
LTU,['Lithuanian'],2894886,88.5029,2023,6.461631465975109,0.885029,1.25,1.0,0.75,1.0,False,5.718731234700484,5.718731234700484,5.718731234700484,5.718731234700484,74,False,Lithuania,,25-05-2025,unknown,,2.533023430747883,2.4062140702113903,2.657320119994696,12.626857655651825,11.091888914316002,14.258028143074986,5.908065777080263e-05,9.159610636155462e-06,0.00016899008631659037,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.878456289975547,0.885029,0.34479610337369604,0.7281456543380298,145,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
PRI,"['English', 'Spanish']",3203295,87.2918,2022,6.505596935845423,0.872918,1.25,1.0,0.75,1.25,False,5.678852666044315,7.098565832555393,5.678852666044315,5.678852666044315,75,False,Puerto Rico,,25-05-2025,unknown,,2.5278809105398516,2.4097363796448534,2.6460571588987856,12.558391488710127,11.13102761945432,14.09834158926056,6.054463294111287e-05,1.062519932577979e-05,0.0001630783359834577,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.979690525505411,0.872918,0.38049887804791516,0.6853869305595643,144,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
EST,['Estonian'],1369995,92.238,2024,6.1367189821371575,0.92238,1.25,1.0,0.75,1.0,False,5.660386854743671,5.660386854743671,5.660386854743671,5.660386854743671,76,False,Estonia,,25-05-2025,unknown,,1.872271481545016,1.707506603086209,2.037717247280779,6.534831653701976,5.515193554497341,7.673073479565813,0.010875610640228156,0.0035694058063609523,0.022199533707534098,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.130317648162611,0.92238,0.08094637690597362,0.8600159451356081,96,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
LBN,"['Arabic', 'French']",5490000,83.4933,2023,6.739572344450092,0.834933,1.25,1.0,0.75,1.0,False,5.627091356268749,5.627091356268749,5.627091356268749,5.627091356268749,77,False,Lebanon,,25-05-2025,unknown,,2.8551385340529154,2.7634280797286044,2.946773686000033,17.402426136060804,15.854099024700572,19.044411254553545,7.053753122831532e-07,1.020668787960771e-07,2.0644002635261878e-06,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.518438813485714,0.834933,0.5705018807989739,0.5512782588788597,164,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
BIH,"['Bosnian', 'Croatian', 'Serbian']",3422000,86.1009,2024,6.534280005205082,0.8610089999999999,1.25,1.0,0.75,1.0,False,5.626073893001622,5.626073893001622,5.626073893001622,5.626073893001622,78,False,Bosnia and Herzegovina,,25-05-2025,unknown,,2.4708272054142424,2.3556973282394575,2.583827563146742,11.859400319782283,10.545479964466194,13.247747835055026,0.0001084174787724491,2.3373205299743197e-05,0.00027747420052174504,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.045735733434276,0.8610089999999999,0.4037913656599798,0.6433413817627887,141,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
CYP,"['Greek', 'Turkish']",1442614,91.2211,2023,6.159150142531189,0.9122110000000001,1.25,1.0,0.75,0.75,False,5.618444510668519,4.21383338300139,5.618444510668519,5.618444510668519,79,False,Cyprus,,25-05-2025,unknown,,1.816187681238194,1.6561693244744287,1.97772612089246,6.1767484449828425,5.239202773438073,7.226292624108352,0.01436356658980987,0.005255047494847094,0.02779127667899612,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.181967303704466,0.9122110000000001,0.09916191440828319,0.8241135867751745,94,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
BGR,['Bulgarian'],6437360,82.439,2024,6.808707797095676,0.82439,1.25,1.0,0.75,0.75,False,5.613030620847704,4.2097729656357785,5.613030620847704,5.613030620847704,80,False,Bulgaria,,25-05-2025,unknown,,2.9609599178185473,2.8757678560107225,3.041588564426388,19.34069089966376,17.739040022674477,20.938479001492567,1.158807513917935e-07,1.6884166884714258e-08,3.5072247889208784e-07,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.67762907614483,0.82439,0.6266442919931746,0.5140554676315335,170,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
BRN,['Malay'],455500,99.0336,2023,5.658488381309017,0.9903360000000001,1.25,1.0,0.75,0.75,False,5.603804749592047,4.2028535621940355,5.603804749592047,5.603804749592047,81,False,Brunei Darussalam,,25-05-2025,observed_multi,23.0,1.073640932649342,0.8448752508904381,1.3054541293538477,2.953875363686441,2.3276883149528254,3.689364176743401,0.1579979759342691,0.09218940945231387,0.22699838213562193,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,13.02915099568215,0.9903360000000001,-0.30740747064865437,1.099939306797685,35,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
ECU,['Spanish'],18103660,77.1727,2024,7.257766384654669,0.771727,1.25,1.0,0.75,1.0,False,5.6010142787303945,5.6010142787303945,5.6010142787303945,5.6010142787303945,82,False,Ecuador,,25-05-2025,observed_multi,294.0,3.8602376202232276,3.795818822378642,3.9247947610388167,47.50982632006815,44.51467110134507,50.642683142573375,4.660201449242184e-19,5.1366372035332396e-21,2.070271166910312e-18,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,16.71162468573913,0.771727,0.9913085981960587,0.32812510099415176,185,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
ISL,['Icelandic'],391810,99.8301,2023,5.593075516113534,0.998301,1.25,1.0,0.75,1.0,False,5.583572880811657,5.583572880811657,5.583572880811657,5.583572880811657,83,False,Iceland,,25-05-2025,unknown,,0.9465820812652269,0.7105334777275734,1.1870196010326015,2.6033299037359674,2.035077911953655,3.2772989796626297,0.19571750263757035,0.12365258513969714,0.26592425480341125,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,12.878532307393002,0.998301,-0.36052690264285897,1.1280602906054198,29,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
PRY,"['Guaraní', 'Spanish']",6109644,81.5781,2024,6.786015905276943,0.8157810000000001,1.25,1.0,0.75,1.0,False,5.535902841222731,5.535902841222731,5.535902841222731,5.535902841222731,84,False,Paraguay,,25-05-2025,unknown,,2.764512866961393,2.6795523724120742,2.846218162315481,15.891306302546981,14.57856608498677,17.222525777564446,2.6157673364876183e-06,5.707543861274068e-07,6.797106886092543e-06,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.625379064311183,0.8157810000000001,0.6082170238910543,0.48366079724850947,160,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
HRV,['Croatian'],3866233,83.6324,2024,6.587288023403108,0.8363240000000001,1.25,1.0,0.75,1.0,False,5.509107068884581,5.509107068884581,5.509107068884581,5.509107068884581,85,False,Croatia,,25-05-2025,unknown,,2.329527736140377,2.2241896333306213,2.4314894214504728,10.292833196652339,9.245987135423734,11.375813121810076,0.0004087751281578242,0.00013047601712085934,0.0008922203289662109,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.167791205946209,0.8363240000000001,0.4468372681655939,0.5561892806587165,133,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
MKD,['Macedonian'],1822612,87.1819,2023,6.260694225323314,0.871819,1.25,1.0,0.75,0.75,False,5.458192178827146,4.0936441341203595,5.458192178827146,5.458192178827146,86,False,North Macedonia,,25-05-2025,unknown,,1.6378991326162984,1.496829397916015,1.7807767479075838,5.162768656679678,4.467502092144562,5.9344642293385625,0.03127902866580758,0.015706393627994992,0.05126883407007767,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.415781195023367,0.871819,0.18162220695426176,0.6815068349908637,75,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
MNG,['Mongolian'],3544835,83.0162,2023,6.549596025060067,0.830162,1.25,1.0,0.75,0.75,False,5.4372257353559155,4.077919301516936,5.4372257353559155,5.4372257353559155,87,False,Mongolia,,25-05-2025,unknown,,2.112258260157594,2.0055681674375383,2.2178387721094968,8.283467816141943,7.43031439790766,9.187453225505005,0.002316677090050499,0.0009400153317467285,0.004406185072712957,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.081002172436367,0.830162,0.4162289537808713,0.5344339131479486,115,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
GEO,['Georgian'],4000921,81.8843,2023,6.602159976122113,0.818843,1.25,1.0,0.75,0.75,False,5.406132481327759,4.0545993609958195,5.406132481327759,5.406132481327759,88,False,Georgia,,25-05-2025,unknown,,2.1484575096938356,2.0486280567270967,2.246252780482947,8.586746613195926,7.757252367975491,9.452249804866616,0.001765918202173588,0.0007421222933714305,0.003317253908353983,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,15.202035142580701,0.818843,0.4589142453583427,0.4944714001887834,122,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
BHS,['English'],398165,94.8186,2023,5.600063081470082,0.9481860000000001,1.25,1.0,0.75,1.25,False,5.309901412966791,6.637376766208489,5.309901412966791,5.309901412966791,89,False,Bahamas,,25-05-2025,unknown,,0.3000837682070048,0.07855425347697857,0.5284226429226034,1.3623625332075495,1.0817220420436815,1.6962546277503314,0.3461317942964388,0.3110405541693047,0.36669487652122346,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,12.89462177121931,0.9481860000000001,-0.35485255247255304,0.9511258143311402,9,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
MLT,"['English', 'Maltese']",574250,92.0727,2023,5.759101003867063,0.920727,1.25,1.0,0.75,1.25,False,5.30255978998751,6.628199737484387,5.30255978998751,5.30255978998751,90,True,Malta,Malta,25-05-2025,unknown,,0.5005563696624032,0.30215762728482687,0.7065667435264139,1.6618578626055338,1.3527744471049301,2.0270200278811723,0.3141209014987264,0.26701424239840077,0.3497219674518764,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,13.260820120551344,0.920727,-0.22570358341242017,0.8541799142210837,18,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
ALB,['Albanian'],2363314,83.1356,2023,6.373521427687243,0.831356,1.25,1.0,0.75,1.0,False,5.298665280036356,5.298665280036356,5.298665280036356,5.298665280036356,91,True,Albania,Albania,25-05-2025,unknown,,1.4989839739112412,1.3775466330907034,1.6209332544912791,4.4891653247468035,3.9651617769588836,5.0578083426477365,0.051915267100587977,0.03216504185486088,0.07519918026897261,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.675575429270774,0.831356,0.2732451145452441,0.5386494127921968,65,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
GHA,['English'],33742380,69.9445,2023,7.52817571205314,0.6994450000000001,1.25,1.0,0.75,1.25,False,5.265544860917009,6.581931076146262,5.265544860917009,5.265544860917009,92,True,Ghana,Ghana,25-05-2025,unknown,,3.858174272893829,3.7769381439664422,3.9396627597954814,47.43652657422922,43.68208856509769,51.40126392497598,1.2504277477389864e-18,2.4416930324944126e-21,4.671049984979442e-18,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,17.334265172013396,0.6994450000000001,1.2108982742393817,0.07292849690241288,184,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
BTN,['Dzongkha'],784043,88.426,2023,5.894339881754102,0.88426,1.25,1.0,0.75,0.75,False,5.212128983839882,3.9090967378799117,5.212128983839882,5.212128983839882,93,True,Bhutan,Bhutan,25-05-2025,observed_multi,2.0,0.4952790283614508,0.31934772574814624,0.677465998889732,1.650617682077705,1.376229909333459,1.9688822729706272,0.3157523312650607,0.27488120241682407,0.34753768598363743,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,13.572219144767281,0.88426,-0.11588096128106043,0.7254306466107046,17,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
MAC,"['Portuguese', 'Chinese']",685900,89.1806,2023,5.836260802858487,0.891806,1.25,1.0,0.75,1.0,False,5.204812401554015,5.204812401554015,5.204812401554015,5.204812401554015,94,True,Macao,Macao,25-05-2025,unknown,,0.38881634734368226,0.20512722510180847,0.5793505887129581,1.4846691253080146,1.2276814332393917,1.784878935918413,0.3347794836730041,0.2995337001916363,0.35967508397467074,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,13.438487123487413,0.891806,-0.16304488954596574,0.7520723219168147,13,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
TTO,['English'],1367764,84.6994,2023,6.136011168773308,0.846994,1.25,1.0,0.75,1.25,False,5.19716464388398,6.496455804854975,5.19716464388398,5.19716464388398,95,True,Trinidad and Tobago,Trinidad and Tobago,25-05-2025,unknown,,0.8596745153193378,0.7117120322099525,1.008472631457439,2.3717795452745003,2.037476511261248,2.7414106829314346,0.22208544986499196,0.1767643058132859,0.2655998375484614,0.9,1.01,469.0,20,4,4,12,-1.7477575830462364,-1.8863632665769616,-1.6050457107757303,5,95,1.0,13.900796422998402,2.8354724934856366,4.401002415560865,4.258808619988878,4.536694867523189,0.6787887,0.2832404461542748,3.7950271535750773,3.682431390128005,3.91037066706457,14.128687847662391,0.846994,0.08037158716494647,0.5938604541965108,24,bayes-no-uk-smoke,bayes-no-uk-smoke_20251220T232821Z,no-language,1.25,1.0,0.75,300,300,0.9,0,0.9
