alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,0.8118450766489603,-3.2809882909610617,12.791694601418092,81486.14942963459,0.037591088527172155,359221.54768691375,0.031003914850299064,0.0,0.04672322525180853,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,21.065634938547873,0.92,2.580245381036206,0.8332408901783718,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,213
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,0.7950278569368285,-2.5784517822633264,10.655996333802165,9869.689132409063,0.07589141054109894,42446.35549735546,0.058604189040441505,0.0,0.08607896689135017,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,17.449397726957166,0.8901359999999999,1.2560053821472685,0.7249701187353262,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,189
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,0.8137497271492901,-2.148392312444939,9.45872630426867,3015.856396392175,0.11667157954485086,12819.545844918513,0.08524723034072594,0.0,0.12355460469846023,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,16.46203770461362,0.342005,0.8944412594452475,-1.262257520624698,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,168
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,1.036054978737588,-1.336282820946537,7.919884243057155,655.665895379541,0.2628208083204441,2751.452529761497,0.16235499499086323,0.0,0.23090374959148732,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,17.760233059555436,0.26438300000000003,1.3698310402582063,-1.5436730651248334,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,115
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,0.9443238372202049,-1.5634020991950337,8.237575946387011,900.0945592056028,0.20942238315153688,3780.365384446385,0.13713502786676943,0.0,0.19583777464971325,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,15.400912712032026,0.9974729999999999,0.5058649363839726,1.114116240968856,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,125
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,0.7371095250639947,-1.9068393940980661,8.44921658558096,1109.806520733619,0.14854915258768983,4671.411651335374,0.1037964509345588,0.0,0.1487610927479281,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,18.24025238193372,0.935,1.545610655847437,0.887622807257319,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,154
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,0.9289936435815156,-1.3727572047094496,7.612560364654793,483.48860345026725,0.25340730064658656,2023.4522476548157,0.15762597993241684,0.0,0.22362756456306035,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,12.67888794332868,,-0.49092091193646514,0.0,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,116
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,0.8284869953179868,-1.601276631366098,7.901003338891558,644.1123249352252,0.20163893602147506,2699.989977179669,0.1326425075170433,0.0,0.18891233588115952,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,17.713758095822914,0.957575,1.3528122435586265,0.9694675924611341,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,129
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,False,unknown,,0.8661106313165563,-1.296385586486413,7.141113174477314,302.50726799908864,0.27351861896140045,1262.8333608459445,0.16596520405300105,0.0,0.2344534441071826,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,17.131036537197033,0.970631,1.1394238093945255,1.01680161308665,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,113
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,0.7233580721438394,-1.5683597469371293,7.39613693872629,390.3567834247251,0.2083867101552732,1629.6767133921367,0.13541334718646428,0.0,0.19205514509765614,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,17.544851613664733,0.9395640000000001,1.290959907371008,0.9041694118938733,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,126
THA,['Thai'],65859640,15.0,100.0,90.8672,2024,27.16,9424.76758538657,7.818619352454832,0.9086719999999999,1.25,1.0,0.75,0.75,False,7.104560484233837,5.328420363175378,7.104560484233837,7.104560484233837,11,False,Thailand,,25-05-2025,False,unknown,,0.5839648953561797,-1.8644437162009844,7.727780601714461,541.8927617889426,0.15498240114703304,2270.5573345908306,0.10682483660851068,0.0,0.15208135743513126,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,16.166790572497078,0.5679099999999999,0.7863238879816676,-0.4432477221100616,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,150
ARE,['Arabic'],11294243,24.0,54.0,100.0,2024,,5670.8964449129635,7.052857127514885,1.0,1.25,1.0,0.75,0.75,False,7.052857127514885,5.289642845636164,7.052857127514885,7.052857127514885,12,False,United Arab Emirates,,25-05-2025,False,unknown,,0.9737011385304915,-0.8089218333947829,6.1141877031285405,107.7987870227749,0.44533795699573075,452.2285548470034,0.22404755850707891,1.7992710842603175e-194,0.3118227763892477,0.9,1.53,7.0,22.0,5.0,4.0,13.0,-0.7972613968011619,-1.5287002114867043,-0.5218362605961575,5.0,95.0,1.0,6.0,1.0,False,False,14.01949574190159,2.7308019804754426,0.1494176234388433,-1.3003474022169528,4.396982835647096,0.6901696809523811,0.27582698083674123,1.4684497066205155,0.6939355294767958,3.6214858779385226,16.23980368483258,1.0,0.8130607633968489,1.1232777812660897,nb-ablate-dist-eng-dist0_eng0-seed0,nb-ablate-dist-eng-dist0-eng0-seed0_20251221T141125Z,69
