alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,12.175329263674264,11.887472440014337,12.484264889923507,197805.9123279661,145433.24165338298,264148.01553643995,0.0,0.0,0.0,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,21.065634938547873,0.92,8.976057949814678,0.01,2.5125798297905924,0.8706394328143748,0.31334273588540756,-1.1791760656896695,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,240
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,2.576460769636355,-0.005473573276394162,4.760067694340159,33.98204819061918,0.9945413804318085,116.75382924908538,0.09194508064478193,2.30000876934912e-49,0.3678393088968467,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,17.449397726957166,0.8901359999999999,8.51073982360534,,1.197139640098785,0.7603970232596441,-0.31738621183375454,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,82
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,9.169784482154132,8.842943217275952,9.648529490827107,9986.097010424404,6925.345518727522,15498.97996647703,0.0,0.0,0.0,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,16.46203770461362,0.342005,8.838081925572382,0.15,0.8379781749928003,-1.263018533653156,0.1263191327222129,-0.6528227339369904,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,240
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,5.993975857248268,5.247980210918733,6.475945817490225,442.78949114776935,190.18175325340965,649.3330878631251,4.695511194404243e-80,6.4668393613428435e-280,4.833745659775023e-81,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,17.760233059555436,0.26438300000000003,8.546634970003979,,1.310208906563228,-1.5495587263419208,-0.268731094740694,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,233
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,7.418551367945412,6.665272125393682,7.970150302323698,1824.5785577258996,784.6769666179711,2893.2922036555065,0.0,0.0,0.0,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,15.400912712032026,0.9974729999999999,8.450786304958566,,0.4519840103803944,1.1566295947295104,-0.39865194724834424,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,240
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,-0.41436806393863074,-1.7972432257197573,0.8405050118846226,0.9921974146160226,0.16575520971661165,2.3175370982833865,0.26004845926129916,0.14043669950078613,0.35905391958084276,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,18.24025238193372,0.935,6.704146221648854,0.56,1.4848204354920134,0.9260116583474901,-2.7661858981918965,0.8886405947672842,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,27
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,5.071823142131591,3.5066458064536574,6.435605943369508,242.47381547592857,33.33626376908108,623.6603765303353,2.2981476107255586e-14,8.789494655263712e-269,1.1095874649123261e-13,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,12.67888794332868,,9.066585343713683,,-0.538178019536296,0.0,0.43605071710853854,0.0,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,218
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,3.872718233301183,3.0682872422739726,4.946792099944804,58.5545500060598,21.505038629529114,140.72281505472867,1.3178755801809714e-08,1.0796014968273564e-59,9.840662085682981e-09,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,17.713758095822914,0.957575,7.355600266359302,0.22,1.2933032027802243,1.0093468577748281,-1.8831536220695588,-0.38964606806065083,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,213
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,2.5034648887109077,0.006938876499674944,4.821371485967001,34.21854917385801,1.006963007503042,124.13522399754177,0.09240642692993872,1.5228685114119685e-52,0.36785506794872413,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,17.131036537197033,0.970631,9.635180726298632,0.97,1.0813327725331578,1.057542842878852,1.2067698168722094,2.4301039234715582,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,80
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,0.841069077271208,-1.3465675219484554,2.6690712705683595,4.717192650359683,0.260131627113061,14.426566448243047,0.12720960577666526,7.830593912457288e-06,0.2047763690159545,0.9,4.14,4.0,23.0,5.0,4.0,14.0,12.0,-0.34306878898132503,-0.6152521297780414,-0.014534372787657337,5.0,1.0,95.0,1.0,6.0,1.0,True,True,True,14.158377011671128,2.749070037489086,2.5224383438513907,2.327835271448714,2.688330875352576,0.6841490590909092,0.2708939338374484,3.3593916563375754,3.073480168792867,3.5756394681229344,8.744890416992915,0.7377465833651973,1.7683193566945439,1.3867119460644766,2.0970919789673226,0.32363846153846154,0.2659810274855117,-2.29114341377272,-3.0264360271721285,-1.6011133335992105,17.544851613664733,0.9395640000000001,8.556181787988972,0.8621,1.2318618863150914,0.942859580836366,-0.25579058345910133,2.024435891356458,nb-ablate-dist-eng-dist1_eng1-usecensored1-seed0,nb-ablate-dist-eng-dist1-eng1-usecensored1-seed0_20251221T160722Z,66
