alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_z_log_population,bayes_z_internet_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,7.8633844489930835,7.797606981730729,7.914018367807864,2602.2813592354296,2434.768555037146,2735.360094529313,0.0,0.0,0.0,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,21.065634938547873,0.92,2.5125798297905924,0.8706394328143748,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,248
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,6.619543804401873,6.6135946635361345,6.622287486284635,749.6061682619395,745.1567981407842,751.6625498126083,2.0785e-320,0.0,0.0,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,17.449397726957166,0.8901359999999999,1.197139640098785,0.7603970232596441,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,247
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,5.9298452480991655,5.896495411733402,5.973938055827331,376.21881895078775,363.76040094401355,393.0504817184977,1.6168703711524437e-156,7.848614796594941e-169,3.816634995599306e-156,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,16.46203770461362,0.342005,0.8379781749928003,-1.263018533653156,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,246
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,5.10666720975398,5.000602652816713,5.250047153712288,165.68710179096152,148.50262766982098,190.57525458481052,1.5644942809076314e-63,3.2680265177554355e-81,4.762801464975319e-63,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,17.760233059555436,0.26438300000000003,1.310208906563228,-1.5495587263419208,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,241
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,5.262729157235613,5.1788513385571,5.3755097722552545,193.41858632983215,177.47883077515766,216.04998053031076,4.122517336059983e-76,3.2006626455979935e-92,1.4827561106452595e-75,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,15.400912712032026,0.9974729999999999,0.4519840103803944,1.1566295947295104,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,243
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,5.317486397027232,5.271038028877233,5.377675488772215,204.00034982223204,194.61787661077975,216.51839058000866,9.307860471869246e-84,2.007948356601921e-92,5.857510614287774e-83,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,18.24025238193372,0.935,1.4848204354920134,0.9260116583474901,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,244
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,4.892415861078448,4.7952417683524455,5.022205210602902,133.6559500515339,120.93361617110048,151.7455660436159,6.881006505527767e-52,1.900442850370622e-64,3.645397245218931e-51,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,12.67888794332868,,-0.538178019536296,0.0,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,238
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,5.027967819460449,4.953332610492369,5.126183668085883,152.87478428638536,141.64622994870163,168.37332187578752,6.776941805449867e-61,1.2666852271630761e-71,4.315492757534912e-60,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,17.713758095822914,0.957575,1.2933032027802243,1.0093468577748281,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,240
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,4.5960130811785165,4.496631506854159,4.727423026388416,99.38242719914044,89.71441935142236,113.00397853843774,1.4817119230761061e-38,9.464320129517415e-48,9.78104895267705e-38,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,17.131036537197033,0.970631,1.0813327725331578,1.057542842878852,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,230
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,4.699026259784751,4.6279020140249765,4.79058936874216,110.0027235434066,102.29921649519656,120.37229142849561,5.295947258615345e-44,6.360695352418356e-51,3.818449758008947e-43,0.9,3.89,4.0,23.0,5.0,4.0,14.0,12.0,-0.9080555927094276,-0.9826207101272428,-0.8350398039843594,5.0,1.0,95.0,1.0,6.0,1.0,False,False,True,14.158377011671128,2.749070037489086,2.6135621776701914,2.503252452973242,2.7019350672242837,0.6841490590909092,0.2708939338374484,2.5322267141727703,2.404547398194248,2.734786119036243,17.544851613664733,0.9395640000000001,1.2318618863150914,0.942859580836366,nb-ablate-dist-eng-dist0_eng0-usecensored1-seed0,nb-ablate-dist-eng-dist0-eng0-usecensored1-seed0_20251221T161036Z,235
