alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_likelihood,bayes_total_countries,bayes_target_total_nonzero,bayes_target_total_zero,bayes_target_total_one,bayes_target_total_multi,bayes_expected_total_nonzero_mean,bayes_expected_total_zero_mean,bayes_expected_total_one_mean,bayes_expected_total_multi_mean,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_alpha_prior_sigma,bayes_beta_prior_sigma,bayes_nb_alpha_sigma,bayes_nb_alpha_mean,bayes_nb_alpha_hdi_low,bayes_nb_alpha_hdi_high,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,True,censored,,2.0,True,12.479059931438302,8.825348829504035,16.21850369440684,3318892.7883812827,6804.582139444955,11056220.511796718,0.023236073137301427,0.01901807133959586,0.027849418525143516,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,223
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,12.391916454856949,8.78623311353096,16.079534702957663,3728755.55607214,6543.541806109107,9621731.085950531,0.023652793488987023,0.01901048880812476,0.029644615722972226,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,221
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,9.901761048980637,6.964385942811345,12.935237071270949,107504.78145934221,1058.2649638355194,414669.76179722627,0.02658030336166701,0.022461064070443487,0.03114129410455816,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,217
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,8.968813856885772,7.004839158057962,11.012168305622197,16886.24146195875,1101.9528830923177,60607.16371787159,0.027967084534972354,0.02409324021735874,0.0320262329127097,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,203
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,9.289781346416383,7.296946641231087,11.353827677341759,23921.76479462771,1475.7871448405888,85291.296200426,0.027498652037923028,0.023725331939043727,0.03150190503784526,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,211
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,10.006568132074152,7.980910862255854,12.1468997725953,54216.129793579916,2924.5937575091157,188508.76461205422,0.026576558086735123,0.02266506503751253,0.030811227014376448,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,218
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,9.31114293956034,7.285601018575566,11.46091611239762,27532.79207180157,1459.1379178943248,94932.01257416028,0.027605014322017358,0.023268771921810757,0.03249560252375192,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,208
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,8.927659879770715,6.761126085489631,11.15412231426817,18813.361659339844,863.6142891609089,69851.30779853981,0.028000923863267073,0.024150168868326587,0.032117754961135,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,202
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,9.560787654538967,6.146338891163334,12.98907522406944,131185.32854983074,467.0047937957384,437606.44037584495,0.027501390137700848,0.021802271946427067,0.03513786268507521,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,210
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,9.68594257592607,6.739056002126104,12.664390991114441,91608.84753470939,844.7642920402383,316282.6339660793,0.027232155114487726,0.02207087523165995,0.03384496661530358,0.9,1.0,2910.0,23.0,5.0,4.0,14.0,26.0,2.889713987122745,1.9588078533748352,4.000833145869532,5.0,1.0,negbin,248.0,95.0,153.0,6.0,89.0,102.19281302093523,145.80718697906477,10.41147275788716,91.78134026304807,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.052407663545344374,0.04216071197987937,0.06424116935115447,14.158377011671128,2.749070037489086,3.407743500263191,2.3657385952282435,4.381791465587238,0.6841490590909092,0.2708939338374484,1.7893632388347875,0.7418682097189515,2.819901177797125,0.32363846153846154,0.2659810274855117,0.4501209364297187,-1.0601474760407807,1.8393911161798846,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-negbin-27-censored-eng1-expect0s-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-dist0-eng1-usecensored1-seed1_20251221T174325Z,212
