alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log10_uk_visits_plus1,bayes_train_std_log10_uk_visits_plus1,bayes_beta_log10_uk_visits_plus1_mean,bayes_beta_log10_uk_visits_plus1_hdi_low,bayes_beta_log10_uk_visits_plus1_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log10_uk_visits_plus1,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log10_uk_visits_plus1,bayes_rank,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
CHE,"['French', 'Swiss German', 'Italian', 'Romansh']",9082848,97.3444,2023,2025 Q1 P,540000.0,560.0,6.958222046400911,0.973444,False,5.732394564071265,p10,0.05,4.815572229111593,5.732394564071265,0.6718878561624164,1.25,1.0,0.75,1.0,False,4.55099174566769,4.55099174566769,4.55099174566769,4.55099174566769,11,False,Switzerland,,25-05-2025,unknown,,-13.767058183219442,-17.512669580115837,-11.0801883888171,3.8157512137641735e-06,2.579605905221082e-08,1.5415711066284972e-05,3.815700976940295e-06,2.579605838666931e-08,1.5415473423898412e-05,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,16.02189835778526,0.973444,5.732394564071265,0.7480594291286514,1.0403009315961456,5.732394564071265,176,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
ROU,['Romanian'],19036031,91.2905,2024,2025 Q2 P,548000.0,249.0,7.279576403371833,0.912905,False,5.738781350991824,p10,0.05,4.815572229111593,5.738781350991824,0.6739203627103187,1.25,1.0,0.75,1.0,False,4.478579348932669,4.478579348932669,4.478579348932669,4.478579348932669,12,False,Romania,,25-05-2025,unknown,,-13.364856710205743,-17.16025810760998,-10.679344015266437,5.713521349585766e-06,3.626912237780775e-08,2.30165718798567e-05,5.713408823436827e-06,3.626912106235821e-08,2.3016042118584334e-05,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,16.76184410971519,0.912905,5.738781350991824,1.0090197289128746,0.826563801811278,5.738781350991824,171,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
ARE,['Arabic'],11294243,100.0,2024,2025 Q1 P,371000.0,540.0,7.052857127514885,1.0,False,5.569375080218541,p10,0.05,4.815572229111593,5.569375080218541,0.6200091615249462,1.25,1.0,0.75,0.75,False,4.372836033985744,3.279627025489308,4.372836033985744,4.372836033985744,13,False,United Arab Emirates,,25-05-2025,unknown,,-12.694292253830708,-16.336815315197217,-10.09184609409178,1.0509796157672225e-05,8.135944839765536e-08,4.1416887023073555e-05,1.0509430825888635e-05,8.135944177755445e-08,4.141517169976302e-05,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,16.23980368483258,1.0,5.569375080218541,0.8249091702380947,1.1340587277038934,5.569375080218541,161,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
AUS,['English'],27536874,97.0631,2023,2025 Q1 P,287000.0,519.0,7.439914637387663,0.970631,False,5.457883409952547,p10,0.05,4.815572229111593,5.457883409952547,0.5845284804452755,1.25,1.0,0.75,1.25,False,4.2211208570062375,5.276401071257797,4.2211208570062375,4.2211208570062375,14,False,Australia,,25-05-2025,unknown,,-11.415730792389303,-15.011803498530261,-8.867993903767829,3.623381720694714e-05,3.0331282888919636e-07,0.0001408261609632526,3.622960892512768e-05,3.0331273689053815e-07,0.00014080633025331622,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,17.131036537197033,0.970631,5.457883409952547,1.1392246342082155,1.030369440390727,5.457883409952547,147,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
BEL,"['German', 'French', 'Dutch']",11825551,95.7758,2024,2025 Q2 P,322000.0,172.0,7.072821385408543,0.957758,False,5.507857220434364,p10,0.05,4.815572229111593,5.507857220434364,0.6004319540214719,1.25,1.0,0.75,1.0,False,4.067356837353003,4.067356837353003,4.067356837353003,4.067356837353003,15,False,Belgium,,25-05-2025,unknown,,-12.812879707619398,-16.42040927534146,-10.228122980410808,9.126672721725055e-06,7.491463172205529e-08,3.614054611076919e-05,9.126401861292283e-06,7.491462610927763e-08,3.613923999490997e-05,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,16.285773087451204,0.957758,5.507857220434364,0.8411214250648429,0.9849204228694499,5.507857220434364,163,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
THA,['Thai'],65859640,90.8672,2024,2025 Q1 P,255000.0,461.0,7.818619352454832,0.9086719999999999,False,5.406541883546231,p10,0.05,4.815572229111593,5.406541883546231,0.5681897502045318,1.25,1.0,0.75,0.75,False,4.036738446849811,3.0275538351373585,4.036738446849811,4.036738446849811,16,False,Thailand,,25-05-2025,unknown,,-10.6598648204055,-14.202245442762793,-8.121336272468815,7.574522083331463e-05,6.802939958017767e-07,0.0002971335691155316,7.572710551055524e-05,6.802935329716788e-07,0.00029704529314113285,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,18.003036368757254,0.9086719999999999,5.406541883546231,1.446757094340909,0.8116189023187301,5.406541883546231,142,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
MAR,"['Arabic', 'Berber']",36828330,91.0,2023,2025 Q1 P,284000.0,213.0,7.566182025989628,0.91,False,5.453319869250268,p10,0.05,4.815572229111593,5.453319869250268,0.583076196773631,1.25,1.0,0.75,0.75,False,4.014611182228045,3.0109583866710334,4.014611182228045,4.014611182228045,17,False,Morocco,,25-05-2025,unknown,,-11.569411965305465,-15.164093537819426,-9.008083964775167,3.101464362821859e-05,2.6060854311936554e-07,0.00012241753069933107,3.1011567592994366e-05,2.6060847520221416e-07,0.00012240254547961512,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,17.421777943923203,0.91,5.453319869250268,1.24176183299753,0.8163074982379612,5.453319869250268,151,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
AUT,['German'],9200931,94.9197,2024,2025 Q1 P,326000.0,420.0,6.963831773835327,0.9491970000000001,False,5.513218932257558,p10,0.05,4.815572229111593,5.513218932257558,0.6021382446061049,1.25,1.0,0.75,1.0,False,3.980162836907607,3.980162836907607,3.980162836907607,3.980162836907607,18,False,Austria,,25-05-2025,unknown,,-13.239196897851143,-16.84924382899323,-10.650442122048544,5.971531367365321e-06,4.913875917874003e-08,2.3691373726600425e-05,5.97141520636737e-06,4.913875676382768e-08,2.3690812451657493e-05,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,16.03481523255151,0.9491970000000001,5.513218932257558,0.7526148867449476,0.9546952198088073,5.513218932257558,170,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
HUN,['Hungarian'],9539502,93.779,2024,2025 Q2 P,269000.0,141.0,6.979525703394117,0.93779,False,5.429753894477035,p10,0.05,4.815572229111593,5.429753894477035,0.5755766514419861,1.25,1.0,0.75,1.0,False,3.767338784039129,3.767338784039129,3.767338784039129,3.767338784039129,19,False,Hungary,,25-05-2025,unknown,,-13.016847740706597,-16.57710975729834,-10.464905714076332,7.237682218296592e-06,6.419401639370874e-08,2.8520992763066007e-05,7.237515299904048e-06,6.41940122724216e-08,2.852017932682569e-05,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,16.070951840804074,0.93779,5.429753894477035,0.7653593617259561,0.9144220167586085,5.429753894477035,167,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
DNK,['Danish'],6011488,99.7692,2024,2025 Q2 P,216000.0,178.0,6.778981984515728,0.997692,False,5.334455761768878,p10,0.05,4.815572229111593,5.334455761768878,0.5452493395805763,1.25,1.0,0.75,1.0,False,3.6877045386670275,3.6877045386670275,3.6877045386670275,3.6877045386670275,20,False,Denmark,,25-05-2025,unknown,,-12.76174044291591,-16.253837457360707,-10.271361786826866,9.03762859942678e-06,8.831157548299718e-08,3.4611215787704916e-05,9.03737414980089e-06,8.831156768325342e-08,3.461001787188634e-05,0.9,1.01,524.0,20,4,4,12,-0.1096307853777717,-0.20203621119426488,-0.023516431643098766,5,95,1.0,13.900796422998402,2.8354724934856366,3.7342624185467623,3.6334281599054763,3.8417368514783363,0.6787887,0.2832404461542748,2.577821007648893,2.4762022859104214,2.6764173613697744,0.0,1.0,-3.3376256628492174,-3.9955502425210687,-2.865738749401127,15.60918286322111,0.997692,5.334455761768878,0.6025050301660989,1.1259101739527004,5.334455761768878,164,bayes-agg-constraint-smoke2,bayes-agg-constraint-smoke2_20251220T184850Z,no-language,p10,0.05,1.25,1.0,0.75,300,300,0.9,0,0.9
