alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,18.38355888854177,18.060708999916326,18.71113068183695,98266277.44566272,69769603.99731363,133702893.35584916,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,21.065634938547873,0.92,0.01,2.580245381036206,0.8332408901783718,-1.1233538544594917,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,1.4083955023162698,1.1173408491347014,1.6895711529687216,4.151003048814952,3.0567151308471194,5.417157083852473,0.07374596002960518,0.024050826836463188,0.14379389812927804,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,17.449397726957166,0.8901359999999999,,1.2560053821472685,0.7249701187353262,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,58
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,13.482610314352979,13.280483182241564,13.682245139562461,722233.5303468808,585653.2572519464,875232.7584432653,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,16.46203770461362,0.342005,0.15,0.8944412594452475,-1.262257520624698,-0.6172978987863236,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,7.175942326494335,7.0663718967321785,7.2816023245690396,1310.4438128001143,1171.888579271295,1453.314843231183,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,17.760233059555436,0.26438300000000003,,1.3698310402582063,-1.5436730651248334,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,7.716443321317679,7.600542226921181,7.828717079599999,2250.468129183202,1999.2796645676087,2511.7049933923117,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,15.400912712032026,0.9974729999999999,,0.5058649363839726,1.114116240968856,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,4.666661509619575,4.512016158813271,4.816038206289476,106.79914651580674,91.1053162556888,123.47493827765109,5.936865010880244e-32,2.9315418865826447e-52,2.4717674578847806e-38,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,18.24025238193372,0.935,0.56,1.545610655847437,0.887622807257319,0.864723114256526,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,209
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,2.326395940887363,2.1545979259682566,2.491000815392343,10.295458983217694,8.624421827440841,12.07335327675307,0.0005306452309458689,6.893459229256097e-05,0.0015494985813092506,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,12.67888794332868,,,-0.49092091193646514,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,116
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,8.982169578746337,8.865359508841482,9.098345272417722,7980.067137142856,7082.33907018307,8940.486394564441,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,17.713758095822914,0.957575,0.22,1.3528122435586265,0.9694675924611341,-0.3642699209497395,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,False,unknown,,-3.3947132634685873,-3.6923092255479077,-3.1059042180876735,0.03409798574693006,0.024914403588645048,0.0447840067380828,0.03291891524500085,0.024301344791123988,0.04282264607215562,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,17.131036537197033,0.970631,0.97,1.1394238093945255,1.01680161308665,2.346744127299375,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,70
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,-1.225484769403756,-1.4774613173484146,-0.9831064622229718,0.29695414969744,0.2282163234802283,0.37414701954518476,0.21940495258362364,0.18164925234067505,0.25736667018782355,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,17.544851613664733,0.9395640000000001,0.8621,1.290959907371008,0.9041694118938733,1.9567195728912692,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,31
THA,['Thai'],65859640,15.0,100.0,90.8672,2024,27.16,9424.76758538657,7.818619352454832,0.9086719999999999,1.25,1.0,0.75,0.75,False,7.104560484233837,5.328420363175378,7.104560484233837,7.104560484233837,11,False,Thailand,,25-05-2025,False,unknown,,8.336912609860358,8.220559344363965,8.451442337407098,4185.529042358093,3716.5806496951955,4681.820633121311,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,16.166790572497078,0.5679099999999999,,0.7863238879816676,-0.4432477221100616,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
ARE,['Arabic'],11294243,24.0,54.0,100.0,2024,,5670.8964449129635,7.052857127514885,1.0,1.25,1.0,0.75,0.75,False,7.052857127514885,5.289642845636164,7.052857127514885,7.052857127514885,12,False,United Arab Emirates,,25-05-2025,False,unknown,,4.948027991938263,4.850445722330106,5.043209083624281,141.14357215276138,127.79733929425859,154.96651846425698,1.9261778927515e-48,7.747017020696764e-66,4.025716796917546e-54,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,16.23980368483258,1.0,,0.8130607633968489,1.1232777812660897,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,212
NLD,['Dutch'],18100436,52.5,5.75,97.0068,2023,90.0,541.5892661634281,7.257689036201425,0.9700679999999999,1.25,1.0,0.75,1.0,False,7.0404518879698434,7.0404518879698434,7.0404518879698434,7.0404518879698434,13,False,Netherlands,,25-05-2025,False,unknown,,-3.1604024882216923,-3.438164040928087,-2.889074342046047,0.0430074194072579,0.032123609856414034,0.05562768199282257,0.04114813752082983,0.031108082082573877,0.052617737247580426,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,15.539516387540328,0.99,,0.5566206032171167,1.087023169880125,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,68
JPN,['Japanese'],123210000,36.0,138.0,86.9815,2023,,9297.2835255448,8.090645957573315,0.869815,1.25,1.0,0.75,0.75,False,7.037365213586633,5.278023910189975,7.037365213586633,7.037365213586633,14,False,Japan,,25-05-2025,False,unknown,,8.475647874948145,8.339101601763334,8.610942712742897,4813.009716627286,4184.328860838753,5491.423074036578,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,16.83234696442963,0.933917,0.154,1.0300458409797664,0.8836964328442188,-0.6028391571956616,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
BRA,['Portuguese'],213421037,-10.0,-55.0,84.4635,2024,5.0,8673.413338358518,8.329237225785352,0.8446349999999999,1.25,1.0,0.75,1.0,False,7.03516528420121,7.03516528420121,7.03516528420121,7.03516528420121,15,False,Brazil,,25-05-2025,False,unknown,,13.42699533532712,13.212157423056501,13.641371389215003,683895.5131419556,546974.478492574,840179.9654438389,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,19.178777472104436,0.8446349999999999,0.05,1.8892917784190986,0.560008011468048,-0.9787664385528723,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
FRA,['French'],66351959,46.0,2.0,88.6538,2024,39.0,933.9888303008761,7.821853749662105,0.886538,1.25,1.0,0.75,1.0,False,6.934370579517943,6.934370579517943,6.934370579517943,6.934370579517943,16,False,France,,25-05-2025,False,unknown,,6.3647976787242015,6.251693315815151,6.473780440669192,582.3700090210838,518.8907271775483,647.9285583385221,8.289804557943588e-181,2.6287673717009975e-279,2.310602490925574e-223,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,18.010483843551544,0.886538,0.39,1.4614710734006089,0.7119257095586566,0.25022659665339325,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,220
ITA,"['Italian', 'Catalan']",58927633,42.83333333,12.83333333,89.2207,2024,34.0,1648.6771163328056,7.7703189967427955,0.892207,1.25,1.0,0.75,1.0,False,6.932733001126899,6.932733001126899,6.932733001126899,6.932733001126899,17,False,Italy,,25-05-2025,False,unknown,,6.939455743908934,6.832756928204126,7.0429818043468515,1034.3503994620198,927.7450164367152,1144.7960803323215,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,14.854211470395835,0.89473,0.9764,0.30566688264555836,0.7416254872060388,2.3698781138444347,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
TUR,['Turkish'],85664944,39.0,35.0,87.3079,2024,17.0,3233.5273059631077,7.932803135318054,0.873079,1.25,1.0,0.75,0.75,False,6.925963828580352,5.194472871435265,6.925963828580352,6.925963828580352,18,False,Türkiye,,25-05-2025,False,unknown,,10.076003134043098,9.93561098444082,10.216872525750443,23853.31328206429,20652.899177110485,27360.961830853987,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,9.272657678041044,0.743146,,-1.7382578809445948,0.19206358597303055,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
CHL,['Spanish'],20206953,-30.0,-71.0,94.4574,2023,9.53,11434.350148808817,7.3055008313257455,0.944574,1.25,1.0,0.75,1.0,False,6.9005861422486845,6.9005861422486845,6.9005861422486845,6.9005861422486845,19,False,Chile,,25-05-2025,False,unknown,,9.011151801555547,8.901378665595113,9.119163219727,8212.05165808436,7342.088850033421,9128.55986605596,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,16.82153731106627,0.944574,0.0953,1.0260874238405353,0.9223329721982415,-0.8150211900386257,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
MAR,"['Arabic', 'Berber']",36828330,32.0,-5.0,91.0,2023,14.0,2457.8805046131624,7.566182025989628,0.91,1.25,1.0,0.75,0.75,False,6.8852256436505614,5.163919232737921,6.8852256436505614,6.8852256436505614,20,False,Morocco,,25-05-2025,False,unknown,,9.204189319671451,9.089776416800213,9.317595136873267,9962.53631553769,8864.203943744153,11132.178271878429,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,10.556411517605202,0.991497,,-1.268156478959874,1.0924504852046037,0.0,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
ARG,"['Guaraní', 'Spanish']",46735004,-34.0,-64.0,89.6672,2024,6.52,11444.407762190232,7.6696422841965495,0.8966719999999999,1.25,1.0,0.75,1.0,False,6.877153486255088,6.877153486255088,6.877153486255088,6.877153486255088,21,False,Argentina,,25-05-2025,False,unknown,,10.685009438498373,10.54181147310548,10.825568526846705,43861.03562629829,37866.09778330592,50290.3519409305,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,17.660003992187775,0.8966719999999999,0.0652,1.3331278782990919,0.7486661327371928,-0.9238232205083569,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
KAZ,"['Kazakh', 'Russian']",20426568,48.0196,66.9237,93.3917,2024,15.4,4673.612031137062,7.310195404132739,0.933917,1.25,1.0,0.75,0.75,False,6.827115761241435,5.120336820931076,6.827115761241435,6.827115761241435,22,False,Kazakhstan,,25-05-2025,False,unknown,,8.050118580928288,7.956640685803885,8.142007362468284,3139.2639802142307,2854.467774069575,3435.807862885841,0.0,0.0,0.0,0.9,1.0,3458.0,22.0,5.0,4.0,13.0,-2.115412132878989,-2.2698720213032497,-1.9607503408660651,5.0,95.0,1.0,6.0,1.0,False,True,14.01949574190159,2.7308019804754426,5.338719539792301,5.18983411164359,5.489612238089592,0.6901696809523811,0.27582698083674123,2.423921122309709,2.336219980657825,2.509840188260549,0.32077500000000003,0.27664924882421066,-4.187509016748631,-4.301554809439442,-4.075018887245178,17.7920279210548,0.34976199999999996,0.1883,1.3814740893429402,-1.2341348185726053,-0.47885544805573543,nb-ablate-dist-eng-dist0_eng1-seed0,nb-ablate-dist-eng-dist0-eng1-seed0_20251221T141116Z,224
