alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_likelihood,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_alpha_prior_sigma,bayes_beta_prior_sigma,bayes_nb_alpha_sigma,bayes_nb_alpha_mean,bayes_nb_alpha_hdi_low,bayes_nb_alpha_hdi_high,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,6.85358041815823,2.061697645189043,12.123433965896776,159526.43257444195,7.8593013844189406,184136.9543053357,0.02892286855691544,0.02252955280031372,0.0361061275707676,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,190
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,,False,9.699629909424022,4.835205022812216,14.926308723504393,1562381.413055083,125.86438930579187,3036782.360177876,0.025556211971836846,0.019762211528994468,0.03238935716433769,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,243
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,6.335979089017828,2.723286262077693,10.22565896205247,9535.820024768449,15.230292078148656,27602.51301353287,0.02960813861861281,0.024053251419930623,0.03574082447669116,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,139
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,6.865256043167482,4.13733576481032,9.788646170640558,4454.163772233879,62.6357280263347,17830.15104451269,0.028914400925288155,0.0241222308710426,0.034129207257500495,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,192
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,6.967029836420138,4.147384427906407,10.00442281445581,5510.894144157319,63.26837200308399,22124.106356816286,0.02877657305606849,0.0239934647193319,0.034050491248915266,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,200
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,,False,7.911574442634679,4.797056466119627,11.236950838606482,19239.06979396685,121.15327347073828,75883.23068402731,0.02758621935414916,0.022859590385570224,0.032917189248847754,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,231
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,7.89182333974448,4.933806561094405,11.058995695038124,15641.355521451138,138.9072677555406,63512.73389476215,0.027627134241113172,0.02290231996664383,0.03287504265550895,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,229
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,,False,6.586827784536685,3.7048227661448645,9.614834789886105,3895.1393276255994,40.64284344981203,14985.452587454576,0.029274143471760036,0.024314513963795012,0.03463503912284054,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,168
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,9.013141451232018,5.039388871961334,13.237445004555926,205170.58083079,154.37573866960452,560982.5528302089,0.026350574848581377,0.02100148780329818,0.0325791367316752,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,242
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,,False,8.749481124646517,5.095039165383345,12.62677545741464,94023.48054313622,163.21048154702945,304606.3367417378,0.026627052739320457,0.021564065860762503,0.03246976908446529,0.9,1.0,2993.0,23.0,5.0,4.0,14.0,2.0,5.739077552542191,4.3293455989014396,7.231786836512298,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04537253488327639,0.03821386229952724,0.05372482122960369,14.158377011671128,2.749070037489086,0.8299122361542677,-0.8824013609941349,2.821582440939661,0.6841490590909092,0.2708939338374484,0.13189902112045898,-1.2779566580037862,1.5047492337945658,0.32363846153846154,0.2659810274855117,0.920604140437476,-0.5293352643367599,2.3296356122813,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-negbin-2-censored-dist0_eng1-usecensored1-seed0,nb-negbin-2-censored-dist0-eng1-usecensored1-seed0_20251221T171515Z,241
