alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,10.256484328735967,7.808227359273897,11.813267856260829,54201.32899277236,2460.7645154429633,135032.10666076912,0.0,0.0,0.0,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,248
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,1.6634027700275646,-1.8778751604665356,5.00915282505875,28.982416617797334,0.15291468193702423,149.77779439762716,0.09740544332495084,1.3420791784034737e-63,0.32505272577725514,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,92
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,7.974467670876548,5.584677107821274,9.314843232719578,5140.347852451027,266.3142780591173,11101.585697423105,1.2877929074250515e-112,0.0,5.8421552608014335e-114,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,246
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,5.040097878831847,2.056476328829329,6.2099308530224775,313.3942382190271,7.818371847861165,497.66683813302535,0.0005067749710490269,3.65609751229815e-214,0.0031451443116500524,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,206
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,5.2040650494585705,2.3469680733408262,6.3901538528298705,354.34508678086945,10.453826396787242,595.9483029328317,4.421279829633529e-05,9.252424159991129e-257,0.00030146449971795895,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,218
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,3.4373575096543147,0.5646496322632998,5.359250696368495,72.00201764585276,1.7588314421202667,212.5656221826378,0.06384374675130307,1.0289219654853913e-90,0.3029517255059073,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,128
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,2.4844880405565024,-0.7363617715143209,4.545493200546984,32.246143266586,0.47885292750441766,94.20687913015833,0.08100733665538441,1.149672881221608e-39,0.3488933340985608,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,109
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,5.785875475671446,3.2457735572036457,6.622249015611743,568.981784126502,25.681568541799468,751.6336334047511,2.544267292775482e-11,0.0,1.8040893452349468e-10,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,236
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,-0.4857800934269027,-4.060858778243903,2.5908914596797303,2.9711013495594685,0.017234213558885547,13.341660958085614,0.1076161371331685,2.142918049386278e-05,0.3042830618515724,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,83
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,0.4692391759149518,-2.7594025402866094,3.2275436480590916,6.009123642045565,0.06332959502646626,25.21763791637024,0.1056852727337419,2.8172681807345165e-10,0.3538241209321458,0.9,3.94,4.0,23.0,5.0,4.0,14.0,12.0,-0.812997657154336,-1.1122884248291094,-0.6127905151098426,5.0,1.0,95.0,1.0,6.0,1.0,False,True,True,14.158377011671128,2.749070037489086,2.6001216309407758,2.2649528049268066,3.010450980735297,0.6841490590909092,0.2708939338374484,2.4071113329986247,0.1960398615830896,3.5266584728061763,0.32363846153846154,0.2659810274855117,-2.0698713672379796,-2.8284416241390486,-1.2475062941018777,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-ablate-dist-eng-dist0_eng1-usecensored1-seed2,nb-ablate-dist-eng-dist0-eng1-usecensored1-seed2_20251221T161021Z,88
