alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_likelihood,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_alpha_prior_sigma,bayes_beta_prior_sigma,bayes_nb_alpha_sigma,bayes_nb_alpha_mean,bayes_nb_alpha_hdi_low,bayes_nb_alpha_hdi_high,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,6.851149940852737,2.0013243507044125,12.12914876772438,188168.17755117957,7.398850495230348,185192.07668242804,0.028933711025922362,0.022442305058029247,0.03612617309422998,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,186
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,,False,9.73091445676502,4.886012466188599,14.91573715919591,1158354.2328727199,132.42452426265618,3004847.453311567,0.02550921748168753,0.019793675466363736,0.032322727557570166,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,243
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,6.333774245410873,2.694431112112653,10.25922806892761,11936.913380160879,14.797100242739141,28544.746467307967,0.029607427411423564,0.02404433346930534,0.03576918280498402,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,139
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,6.8732534467460304,4.14680047674433,9.858311085878194,4577.768578955166,63.231366475581694,19116.58406109509,0.02889025540878819,0.02412003334044928,0.034043865155268624,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,191
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,6.974757431337745,4.1676092344868145,10.082427124424369,5717.013703331085,64.5609212992683,23918.971579051806,0.028754361289614276,0.023986823066578834,0.03394618373960412,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,200
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,,False,7.927156475558176,4.856071646820277,11.250552155337346,17894.916412354756,128.51834623333738,76922.38169429789,0.027554935097982822,0.022872565144405034,0.032859818417395006,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,231
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,7.910310718791443,4.975602368111897,10.996729088544186,14258.962577669816,144.83605602534672,59678.618722136,0.027588545011214573,0.023025559939959906,0.032813525708492615,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,230
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,,False,6.5900880122649355,3.7668140902824003,9.680991086839446,4289.91778992295,43.24208101473034,16010.357911238054,0.02925921289382445,0.024347482929606857,0.03457389297231434,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,170
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,9.04379541734201,4.987091349729824,13.240454212838479,174398.51117377347,146.50980677834613,562673.2324871181,0.02629673578940644,0.021088434547634673,0.03254254242579668,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,242
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,,False,8.775647676146788,5.067841346505368,12.600953146344734,82133.85410122482,158.8311458932618,296841.75109480985,0.026580301815330568,0.021581700809364668,0.03239461337118118,0.9,1.0,3259.0,23.0,5.0,4.0,14.0,2.0,5.734832868250709,4.3294183522746,7.225099356406003,5.0,0.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04534052396868984,0.03824736688919398,0.05331229666985861,14.158377011671128,2.749070037489086,0.8324743349506356,-0.8806494995916381,2.8484081428502495,0.6841490590909092,0.2708939338374484,0.13982394957704575,-1.2783499336558362,1.5145191810211995,0.32363846153846154,0.2659810274855117,0.9303762400615054,-0.5142781381722958,2.3847218444510316,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-negbin-2-censored-dist0_eng1-usecensored1-seed1,nb-negbin-2-censored-dist0-eng1-usecensored1-seed1_20251221T171530Z,241
