alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,,False,7.744569607883354,6.8454117814306095,8.278785107414325,2681.4374781307843,939.5600947652047,3939.4055190950735,0.0,0.0,0.0,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,21.065634938547873,0.92,8.976057949814678,2.5125798297905924,0.8706394328143748,0.31334273588540756,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,248
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,6.126962830186307,5.148640396990401,6.62192172492744,530.504278456429,172.19721125120665,751.3876709713843,6.0085747626598136e-74,0.0,2.829619241985662e-73,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,17.449397726957166,0.8901359999999999,8.51073982360534,1.197139640098785,0.7603970232596441,-0.31738621183375454,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,247
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,4.867785102333267,4.087602198424865,5.275367624557854,143.32268667172931,59.59681889774214,195.46232005602212,1.1553111528779005e-25,2.5284596684042883e-83,7.81004438561523e-25,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,16.46203770461362,0.342005,8.838081925572382,0.8379781749928003,-1.263018533653156,0.1263191327222129,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,243
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,3.5429980853764125,2.422443931014508,4.009381240817138,40.41375591839388,11.273377032268517,55.112758486580795,2.8344207129116405e-05,6.398604334960771e-23,0.0001432480090361088,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,17.760233059555436,0.26438300000000003,8.546634970003979,1.310208906563228,-1.5495587263419208,-0.268731094740694,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,221
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,5.032573013126268,3.044686141621183,5.761762831876058,227.45979797837475,21.003438064275787,317.9082540508813,2.74902569000412e-09,2.7321297932250987e-136,1.5871323298152653e-08,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,15.400912712032026,0.9974729999999999,8.450786304958566,0.4519840103803944,1.1566295947295104,-0.39865194724834424,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,236
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,0.013608941766024042,-1.3798209883631123,2.773496946310701,4.266053000583747,0.25162359357955155,16.014538187103025,0.2024629068138269,1.776187684627639e-06,0.3139447008116555,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,18.24025238193372,0.935,6.704146221648854,1.4848204354920134,0.9260116583474901,-2.7661858981918965,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,59
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,5.2033849906938885,2.6662701019968704,6.078884488821058,319.049525970227,14.38620990240071,436.5419555782323,1.5142498379725125e-06,1.1278818272513665e-187,8.130079970887595e-06,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,12.67888794332868,,9.066585343713683,-0.538178019536296,0.0,0.43605071710853854,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,232
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,1.0592596709801643,0.28164649053652013,2.4103056931211966,4.162846040593484,1.3253101284937883,11.137365241677498,0.21118107196538397,0.00016213851641678012,0.3521621214186774,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,17.713758095822914,0.957575,7.355600266359302,1.2933032027802243,1.0093468577748281,-1.8831536220695588,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,56
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,5.594856935814173,2.5128523119487984,6.6221724512096465,562.171434649178,12.340077662869467,751.576087228035,1.0310926077732543e-05,0.0,5.396227595800413e-05,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,17.131036537197033,0.970631,9.635180726298632,1.0813327725331578,1.057542842878852,1.2067698168722094,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,224
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,3.44532507748759,2.5916146298290643,3.825243272956638,34.67166453324779,13.351311635956195,45.843951604592526,4.081108142500861e-06,5.642958236025597e-19,2.1238457089135838e-05,0.9,3.43,4.0,23.0,5.0,4.0,14.0,12.0,-0.912916414567321,-1.4585006187903673,-0.651986650308587,5.0,1.0,95.0,1.0,6.0,1.0,True,False,True,14.158377011671128,2.749070037489086,2.7176318340747114,2.283786594099591,3.2164284062548467,0.6841490590909092,0.2708939338374484,1.5141250541127416,0.1644213002164892,2.1400638099617892,8.744890416992915,0.7377465833651973,1.6306812142659137,0.2640370416253196,2.174962436779882,17.544851613664733,0.9395640000000001,8.556181787988972,1.2318618863150914,0.942859580836366,-0.25579058345910133,nb-ablate-dist-eng-dist1_eng0-usecensored1-seed2,nb-ablate-dist-eng-dist1-eng0-usecensored1-seed2_20251221T160853Z,230
