alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_likelihood,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_alpha_prior_sigma,bayes_beta_prior_sigma,bayes_nb_alpha_sigma,bayes_nb_alpha_mean,bayes_nb_alpha_hdi_low,bayes_nb_alpha_hdi_high,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,True,censored,,2.0,True,10.980245335402632,6.688831798193558,15.327338369623979,1848613.1149799984,803.3833341708869,4535012.8944414845,0.024696184625906947,0.019887340145168828,0.030138038126249975,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,21.065634938547873,0.92,0.01,2.5125798297905924,0.8706394328143748,-1.1791760656896695,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,230
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,12.852217877398491,8.836601350176998,16.82625025319695,9828772.432849815,6881.56511808746,20302413.21549888,0.0226733511055905,0.018311789836038986,0.027949803813314137,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,17.449397726957166,0.8901359999999999,,1.197139640098785,0.7603970232596441,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,233
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,8.869189927954158,5.546686972524285,12.274404044009723,65606.74542876231,256.3867478736397,214144.12074113768,0.027437752129011544,0.022748513164795713,0.03251898156133934,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,16.46203770461362,0.342005,0.15,0.8379781749928003,-1.263018533653156,-0.6528227339369904,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,217
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,8.5623057388561,6.170276332951734,10.920448413175455,14948.884103131777,478.3182857303876,55295.5998689016,0.027896270380353562,0.023674028995406576,0.03230217100771203,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,17.760233059555436,0.26438300000000003,,1.310208906563228,-1.5495587263419208,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,207
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,8.862276651574014,6.412489328993186,11.25440025763088,21174.474475553496,609.4088954420745,77218.95933226356,0.02747492588396361,0.023349053554252125,0.03184504618139733,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,15.400912712032026,0.9974729999999999,,0.4519840103803944,1.1566295947295104,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,215
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,10.018704287012433,7.479984241827551,12.481163564472661,75573.24493808342,1772.2136427687997,263330.1024555074,0.02597795251784134,0.02206071025100196,0.03024544065478843,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,18.24025238193372,0.935,0.56,1.4848204354920134,0.9260116583474901,0.8886405947672842,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,226
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,9.505746722978266,7.090640515382098,11.959282439172531,42483.701854868144,1200.676644009094,156260.96026721635,0.026687990734942855,0.022499642059322235,0.031235392390006216,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,12.67888794332868,,,-0.538178019536296,0.0,0.0,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,222
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,8.372168041833294,5.828397036326185,10.951198097668605,14777.054890713784,339.81353400004815,57022.331648475796,0.028146955894656853,0.02381365172474209,0.03271149624315623,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,17.713758095822914,0.957575,0.22,1.2933032027802243,1.0093468577748281,-0.38964606806065083,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,200
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,10.444443486063125,6.940448456072208,13.952555422588835,402778.24949451245,1033.2334713384155,1146879.610013627,0.02562787451340951,0.02068353873038421,0.03173965155344206,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,17.131036537197033,0.970631,0.97,1.0813327725331578,1.057542842878852,2.4301039234715582,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,229
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,10.369542216656997,7.2857681710614814,13.483947321361542,230700.79689687246,1459.3821468368028,717800.8212460518,0.02566095729833816,0.021109131641578155,0.031122446656401737,0.9,1.0,2687.0,23.0,5.0,4.0,14.0,16.0,3.8867593894759778,2.630755334189756,5.36707026973612,5.0,1.0,negbin,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04983462112458159,0.039707752531387586,0.0611332235186819,14.158377011671128,2.749070037489086,2.8702451604009025,1.386872054891963,4.16129967315384,0.6841490590909092,0.2708939338374484,1.1257212831496104,-0.23524019582284134,2.355850866245833,0.32363846153846154,0.2659810274855117,0.9314397756850415,-0.5336032249792649,2.288003386496459,17.544851613664733,0.9395640000000001,0.8621,1.2318618863150914,0.942859580836366,2.024435891356458,nb-negbin-17-censored-dist0_eng1-usecensored1-seed0,nb-negbin-17-censored-dist0-eng1-usecensored1-seed0_20251221T172058Z,228
